name,slug, births/1,000 population,date_of_information,ranking,region
"Niger","niger","46.9","2023",1,"Africa"
"Angola","angola","41.4","2023",2,"Africa"
"Benin","benin","40.7","2023",3,"Africa"
"Mali","mali","40.5","2023",4,"Africa"
"Uganda","uganda","40.3","2023",5,"Africa"
"Chad","chad","39.9","2023",6,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","39.6","2023",7,"Africa"
"Somalia","somalia","37.7","2023",8,"Africa"
"South Sudan","south-sudan","37.1","2023",9,"Africa"
"Mozambique","mozambique","36.9","2023",10,"Africa"
"Guinea-Bissau","guinea-bissau","36.3","2023",11,"Africa"
"Guinea","guinea","35.5","2023",12,"Africa"
"Cameroon","cameroon","35.1","2023",13,"Africa"
"Burundi","burundi","34.9","2023",14,"Africa"
"Afghanistan","afghanistan","34.8","2023",15,"South Asia"
"Zambia","zambia","34.5","2023",16,"Africa"
"Nigeria","nigeria","34","2023",17,"Africa"
"Sudan","sudan","33.3","2023",18,"Africa"
"Liberia","liberia","33","2023",19,"Africa"
"Tanzania","tanzania","32.9","2023",20,"Africa"
"Burkina Faso","burkina-faso","32.7","2023",21,"Africa"
"Central African Republic","central-african-republic","32.4","2023",22,"Africa"
"Sierra Leone","sierra-leone","31.5","2023",23,"Africa"
"Togo","togo","31.4","2023",24,"Africa"
"Senegal","senegal","30.8","2023",25,"Africa"
"Timor-Leste","timor-leste","30.4","2023",26,"East and Southeast Asia"
"Ethiopia","ethiopia","30.1","2023",27,"Africa"
"Equatorial Guinea","equatorial-guinea","29.5","2023",28,"Africa"
"Zimbabwe","zimbabwe","29.4","2023",29,"Africa"
"Congo, Republic of the","congo-republic-of-the","29.1","2023",30,"Africa"
"Papua New Guinea","papua-new-guinea","28.5","2023",31,"East and Southeast Asia"
"West Bank","west-bank","28.3","2023",32,"Middle East"
"Madagascar","madagascar","28.1","2023",33,"Africa"
"Ghana","ghana","28","2023",34,"Africa"
"Gambia, The","gambia-the","28","2023",35,"Africa"
"Cote d'Ivoire","cote-divoire","27.9","2023",36,"Africa"
"Mauritania","mauritania","27.6","2023",37,"Africa"
"Gaza Strip","gaza-strip","27.5","2023",38,"Middle East"
"Sao Tome and Principe","sao-tome-and-principe","27.4","2023",39,"Africa"
"Malawi","malawi","27.3","2023",40,"Africa"
"Eritrea","eritrea","26.7","2023",41,"Africa"
"Tajikistan","tajikistan","26.4","2023",42,"Central Asia"
"Pakistan","pakistan","26","2023",43,"South Asia"
"Kenya","kenya","26","2023",44,"Africa"
"Gabon","gabon","25.9","2023",45,"Africa"
"Rwanda","rwanda","25.7","2023",46,"Africa"
"Namibia","namibia","24.6","2023",47,"Africa"
"Iraq","iraq","24.2","2023",48,"Middle East"
"Yemen","yemen","24.1","2023",49,"Middle East"
"Lesotho","lesotho","23","2023",50,"Africa"
"Eswatini","eswatini","22.8","2023",51,"Africa"
"Jordan","jordan","22.4","2023",52,"Middle East"
"Solomon Islands","solomon-islands","22.3","2023",53,"Australia and Oceania"
"Tuvalu","tuvalu","22.3","2023",54,"Australia and Oceania"
"Philippines","philippines","22.2","2023",55,"East and Southeast Asia"
"Uzbekistan","uzbekistan","22.2","2023",56,"Central Asia"
"Syria","syria","22.2","2023",57,"Middle East"
"Comoros","comoros","22.1","2023",58,"Africa"
"Djibouti","djibouti","22","2023",59,"Africa"
"Guatemala","guatemala","21.9","2023",60,"Central America and the Caribbean"
"Oman","oman","21.6","2023",61,"Middle East"
"Marshall Islands","marshall-islands","21.6","2023",62,"Australia and Oceania"
"Haiti","haiti","21.5","2023",63,"Central America and the Caribbean"
"Vanuatu","vanuatu","21.2","2023",64,"Australia and Oceania"
"Libya","libya","20.9","2023",65,"Africa"
"Algeria","algeria","20.9","2023",66,"Africa"
"Nauru","nauru","20.7","2023",67,"Australia and Oceania"
"Egypt","egypt","20.5","2023",68,"Africa"
"Laos","laos","20.4","2023",69,"East and Southeast Asia"
"Honduras","honduras","20.2","2023",70,"Central America and the Caribbean"
"Botswana","botswana","20","2023",71,"Africa"
"Tonga","tonga","20","2023",72,"Australia and Oceania"
"Kiribati","kiribati","19.9","2023",73,"Australia and Oceania"
"Israel","israel","19.3","2023",74,"Middle East"
"Kyrgyzstan","kyrgyzstan","19.1","2023",75,"Central Asia"
"Samoa","samoa","19","2023",76,"Australia and Oceania"
"Cambodia","cambodia","18.8","2023",77,"East and Southeast Asia"
"South Africa","south-africa","18.3","2023",78,"Africa"
"Guam","guam","18.3","2023",79,"Australia and Oceania"
"Cabo Verde","cabo-verde","18.2","2023",80,"Africa"
"Bolivia","bolivia","18.1","2023",81,"South America"
"Micronesia, Federated States of","micronesia-federated-states-of","18.1","2023",82,"Australia and Oceania"
"Belize","belize","18","2023",83,"Central America and the Caribbean"
"Ecuador","ecuador","18","2023",84,"South America"
"Kuwait","kuwait","17.7","2023",85,"Middle East"
"Panama","panama","17.7","2023",86,"Central America and the Caribbean"
"Kazakhstan","kazakhstan","17.6","2023",87,"Central Asia"
"El Salvador","el-salvador","17.5","2023",88,"Central America and the Caribbean"
"Bangladesh","bangladesh","17.5","2023",89,"South Asia"
"Nepal","nepal","17.3","2023",90,"South Asia"
"Dominican Republic","dominican-republic","17.3","2023",91,"Central America and the Caribbean"
"Turkmenistan","turkmenistan","17.2","2023",92,"Central Asia"
"Morocco","morocco","17.1","2023",93,"Africa"
"Venezuela","venezuela","17","2023",94,"South America"
"Peru","peru","17","2023",95,"South America"
"Guyana","guyana","16.7","2023",96,"South America"
"Nicaragua","nicaragua","16.6","2023",97,"Central America and the Caribbean"
"India","india","16.5","2023",98,"South Asia"
"Fiji","fiji","16.3","2023",99,"Australia and Oceania"
"American Samoa","american-samoa","16.2","2023",100,"Australia and Oceania"
"Paraguay","paraguay","16.2","2023",101,"South America"
"Burma","burma","16.1","2023",102,"East and Southeast Asia"
"Brunei","brunei","16","2023",103,"East and Southeast Asia"
"Jamaica","jamaica","15.8","2023",104,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","15.6","2023",105,"Australia and Oceania"
"Bhutan","bhutan","15.6","2023",106,"South Asia"
"Mongolia","mongolia","15.4","2023",107,"East and Southeast Asia"
"Argentina","argentina","15.4","2023",108,"South America"
"Maldives","maldives","15.3","2023",109,"South Asia"
"Vietnam","vietnam","15.3","2023",110,"East and Southeast Asia"
"Suriname","suriname","15.2","2023",111,"South America"
"Indonesia","indonesia","15.1","2023",112,"East and Southeast Asia"
"Colombia","colombia","15.1","2023",113,"South America"
"Antigua and Barbuda","antigua-and-barbuda","15","2023",114,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","14.9","2023",115,"Europe"
"Iran","iran","14.8","2023",116,"Middle East"
"Kosovo","kosovo","14.6","2023",117,"Europe"
"Sri Lanka","sri-lanka","14.6","2023",118,"South Asia"
"Malaysia","malaysia","14.4","2023",119,"East and Southeast Asia"
"Tunisia","tunisia","14.1","2023",120,"Africa"
"Turkey (Turkiye)","turkey-turkiye","14","2023",121,"Middle East"
"New Caledonia","new-caledonia","14","2023",122,"Australia and Oceania"
"Saint Martin","saint-martin","14","2023",123,"Central America and the Caribbean"
"Mexico","mexico","14","2023",124,"North America"
"Saudi Arabia","saudi-arabia","13.9","2023",125,"Middle East"
"Gibraltar","gibraltar","13.8","2023",126,"Europe"
"Greenland","greenland","13.7","2023",127,"North America"
"Grenada","grenada","13.6","2023",128,"Central America and the Caribbean"
"Dominica","dominica","13.6","2023",129,"Central America and the Caribbean"
