name,slug,%,date_of_information,ranking,region
"Yemen","yemen","39.9","2013",1,"Middle East"
"Niger","niger","34.6","2022",2,"Africa"
"Sudan","sudan","33","2014",3,"Africa"
"Timor-Leste","timor-leste","31.9","2020",4,"East and Southeast Asia"
"India","india","31.5","2019/21",5,"South Asia"
"Burundi","burundi","27.6","2022",6,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","23.1","2017/18",7,"Africa"
"Pakistan","pakistan","23.1","2017/18",8,"South Asia"
"Madagascar","madagascar","22.6","2021",9,"Africa"
"Bangladesh","bangladesh","22.6","2019",10,"South Asia"
"Mauritania","mauritania","22.4","2022",11,"Africa"
"Ethiopia","ethiopia","21.1","2019",12,"Africa"
"Laos","laos","21.1","2017",13,"East and Southeast Asia"
"Latvia","latvia","21.1","2020/21",14,"Europe"
"Central African Republic","central-african-republic","20.5","2019",15,"Africa"
"Sri Lanka","sri-lanka","20.5","2016",16,"South Asia"
"Philippines","philippines","19.1","2018",17,"East and Southeast Asia"
"Burma","burma","19.1","2017/18",18,"East and Southeast Asia"
"Afghanistan","afghanistan","19.1","2018",19,"South Asia"
"Angola","angola","19","2015/16",20,"Africa"
"Chad","chad","18.9","2022",21,"Africa"
"Guinea-Bissau","guinea-bissau","18.8","2019",22,"Africa"
"Nepal","nepal","18.7","2022",23,"South Asia"
"Mali","mali","18.5","2022",24,"Africa"
"Nigeria","nigeria","18.4","2019/20",25,"Africa"
"Indonesia","indonesia","17.7","2018",26,"East and Southeast Asia"
"Burkina Faso","burkina-faso","17.5","2021",27,"Africa"
"Benin","benin","16.8","2017/18",28,"Africa"
"Cambodia","cambodia","16.3","2022",29,"East and Southeast Asia"
"Guinea","guinea","16.3","2018",30,"Africa"
"Djibouti","djibouti","16.2","2019",31,"Africa"
"Solomon Islands","solomon-islands","16.2","2015",32,"Australia and Oceania"
"Togo","togo","15.2","2017",33,"Africa"
"Maldives","maldives","14.8","2016/17",34,"South Asia"
"Mozambique","mozambique","14.6","2019/20",35,"Africa"
"Guatemala","guatemala","14.4","2021/22",36,"Central America and the Caribbean"
"Senegal","senegal","14.4","2019",37,"Africa"
"Malaysia","malaysia","14.1","2019",38,"East and Southeast Asia"
"Namibia","namibia","13.2","2013",39,"Africa"
"Cote d'Ivoire","cote-divoire","12.8","2016",40,"Africa"
"Ghana","ghana","12.6","2017/18",41,"Africa"
"Congo, Republic of the","congo-republic-of-the","12.3","2014/15",42,"Africa"
"Tanzania","tanzania","12.1","2022",43,"Africa"
"Sierra Leone","sierra-leone","12","2021",44,"Africa"
"Marshall Islands","marshall-islands","11.9","2017",45,"Australia and Oceania"
"Zambia","zambia","11.8","2018/19",46,"Africa"
"Malawi","malawi","11.7","2020",47,"Africa"
"Libya","libya","11.7","2014",48,"Africa"
"Vanuatu","vanuatu","11.7","2013",49,"Australia and Oceania"
"Gambia, The","gambia-the","11.6","2019/20",50,"Africa"
"Vietnam","vietnam","11.6","2020",51,"East and Southeast Asia"
"Oman","oman","11.2","2016/17",52,"Middle East"
"Cameroon","cameroon","11","2018/19",53,"Africa"
"Liberia","liberia","10.9","2019/20",54,"Africa"
"Lesotho","lesotho","10.5","2018",55,"Africa"
"Kenya","kenya","10.1","2022",56,"Africa"
"Zimbabwe","zimbabwe","9.7","2019",57,"Africa"
"Haiti","haiti","9.5","2016/17",58,"Central America and the Caribbean"
"Guyana","guyana","9.4","2019",59,"South America"
"Korea, North","korea-north","9.3","2017",60,"East and Southeast Asia"
"Rwanda","rwanda","7.7","2019/20",61,"Africa"
"Thailand","thailand","7.7","2019",62,"East and Southeast Asia"
"Tajikistan","tajikistan","7.6","2017",63,"Central Asia"
"Uganda","uganda","7.6","2019/20",64,"Africa"
"Honduras","honduras","7.1","2019",65,"Central America and the Caribbean"
"Egypt","egypt","7","2014",66,"Africa"
"Kiribati","kiribati","6.9","2018/19",67,"Australia and Oceania"
"Suriname","suriname","6.7","2018",68,"South America"
"Gabon","gabon","6.4","2019/20",69,"Africa"
"Eswatini","eswatini","5.8","2014",70,"Africa"
"South Africa","south-africa","5.5","2017",71,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","5.4","2019",72,"Africa"
"Ecuador","ecuador","5.2","2018/19",73,"South America"
"El Salvador","el-salvador","5","2014",74,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","4.9","2013",75,"Middle East"
"Belize","belize","4.6","2015/16",76,"Central America and the Caribbean"
"Fiji","fiji","4.6","2021",77,"Australia and Oceania"
"Iran","iran","4.3","2017",78,"Middle East"
"Mexico","mexico","4.2","2021",79,"North America"
"Iraq","iraq","3.9","2018",80,"Middle East"
"Colombia","colombia","3.7","2015/16",81,"South America"
"Montenegro","montenegro","3.7","2018/19",82,"Europe"
"Saudi Arabia","saudi-arabia","3.5","2020",83,"Middle East"
"Samoa","samoa","3.4","2019/20",84,"Australia and Oceania"
"Lebanon","lebanon","3.4","2021",85,"Middle East"
"Bolivia","bolivia","3.4","2016",86,"South America"
"Tuvalu","tuvalu","3.1","2019/20",87,"Australia and Oceania"
"Turkmenistan","turkmenistan","3.1","2019",88,"Central Asia"
"Dominican Republic","dominican-republic","3","2019",89,"Central America and the Caribbean"
"Panama","panama","3","2019",90,"Central America and the Caribbean"
"Costa Rica","costa-rica","2.9","2018",91,"Central America and the Caribbean"
"Morocco","morocco","2.8","2019/20",92,"Africa"
"Algeria","algeria","2.7","2018/19",93,"Africa"
"Jordan","jordan","2.7","2019",94,"Middle East"
"Armenia","armenia","2.6","2015/16",95,"Middle East"
"Jamaica","jamaica","2.5","2018/19",96,"Central America and the Caribbean"
"Lithuania","lithuania","2.5","2021",97,"Europe"
"Kuwait","kuwait","2.5","2020",98,"Middle East"
"Cuba","cuba","2.4","2019",99,"Central America and the Caribbean"
"China","china","2.4","2013",100,"East and Southeast Asia"
"West Bank","west-bank","2.1","2019/20",101,"Middle East"
"Gaza Strip","gaza-strip","2.1","2019/20",102,"Middle East"
"Peru","peru","2.1","2021",103,"South America"
"Georgia","georgia","2.1","2018",104,"Middle East"
"Kazakhstan","kazakhstan","2","2015",105,"Central Asia"
"Bulgaria","bulgaria","1.9","2014",106,"Europe"
"Uzbekistan","uzbekistan","1.8","2021",107,"Central Asia"
"Mongolia","mongolia","1.8","2018",108,"East and Southeast Asia"
"Uruguay","uruguay","1.8","2018",109,"South America"
"Kyrgyzstan","kyrgyzstan","1.8","2018",110,"Central Asia"
"Argentina","argentina","1.7","2018/19",111,"South America"
"Tunisia","tunisia","1.6","2018",112,"Africa"
"Turkey (Turkiye)","turkey-turkiye","1.5","2018/19",113,"Middle East"
