name,slug,value,date_of_information,ranking,region
"China","china","$401,855,000,000","2022",1,"East and Southeast Asia"
"Russia","russia","$237,883,000,000","2022",2,"Central Asia"
"Norway","norway","$174,555,000,000","2022",3,"Europe"
"Germany","germany","$172,459,000,000","2022",4,"Europe"
"Saudi Arabia","saudi-arabia","$153,486,000,000","2022",5,"Middle East"
"Netherlands","netherlands","$93,836,000,000","2022",6,"Europe"
"Japan","japan","$90,963,000,000","2022",7,"East and Southeast Asia"
"Singapore","singapore","$90,239,000,000","2022",8,"East and Southeast Asia"
"Switzerland","switzerland","$81,231,000,000","2022",9,"Europe"
"Taiwan","taiwan","$65,173,000,000","2019",10,"East and Southeast Asia"
"Qatar","qatar","$63,118,000,000","2022",11,"Middle East"
"Kuwait","kuwait","$63,078,000,000","2022",12,"Middle East"
"Iraq","iraq","$58,010,000,000","2022",13,"Middle East"
"Ireland","ireland","$57,807,000,000","2022",14,"Europe"
"Denmark","denmark","$53,067,000,000","2022",15,"Europe"
"Hong Kong","hong-kong","$37,909,000,000","2022",16,"East and Southeast Asia"
"Korea, South","korea-south","$29,831,000,000","2022",17,"East and Southeast Asia"
"Sweden","sweden","$28,491,000,000","2022",18,"Europe"
"United Arab Emirates","united-arab-emirates","$26,470,000,000","2017",19,"Middle East"
"Azerbaijan","azerbaijan","$23,478,000,000","2022",20,"Middle East"
"Israel","israel","$20,340,000,000","2022",21,"Middle East"
"Algeria","algeria","$19,036,000,000","2022",22,"Africa"
"Australia","australia","$17,875,000,000","2022",23,"Australia and Oceania"
"Indonesia","indonesia","$12,670,000,000","2022",24,"East and Southeast Asia"
"Malaysia","malaysia","$12,271,000,000","2022",25,"East and Southeast Asia"
"Angola","angola","$11,763,000,000","2022",26,"Africa"
"Iran","iran","$9,491,000,000","2017",27,"Middle East"
"Spain","spain","$8,095,000,000","2022",28,"Europe"
"Ukraine","ukraine","$7,972,000,000","2022",29,"Europe"
"Kazakhstan","kazakhstan","$7,079,000,000","2022",30,"Central Asia"
"Bahrain","bahrain","$6,839,000,000","2022",31,"Middle East"
"Luxembourg","luxembourg","$6,168,000,000","2022",32,"Europe"
"Oman","oman","$5,752,000,000","2022",33,"Middle East"
"Libya","libya","$5,675,000,000","2021",34,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","$5,382,000,000","2022",35,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","$4,499,000,000","2021",36,"East and Southeast Asia"
"Guinea","guinea","$3,350,000,000","2022",37,"Africa"
"Brunei","brunei","$3,264,000,000","2022",38,"East and Southeast Asia"
"Belarus","belarus","$2,517,000,000","2022",39,"Europe"
"Ecuador","ecuador","$2,114,000,000","2022",40,"South America"
"Tajikistan","tajikistan","$1,635,000,000","2022",41,"Central Asia"
"Uzbekistan","uzbekistan","$1,550,000,000","2022",42,"Central Asia"
"Congo, Republic of the","congo-republic-of-the","$1,441,000,000","2020",43,"Africa"
"Macau","macau","$1,339,000,000","2022",44,"East and Southeast Asia"
"Guatemala","guatemala","$1,243,000,000","2022",45,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","$1,096,000,000","2020",46,"Africa"
"Zambia","zambia","$1,067,000,000","2022",47,"Africa"
"Nigeria","nigeria","$1,019,000,000","2022",48,"Africa"
"Cuba","cuba","$985,400,000","2017",49,"Central America and the Caribbean"
"Bermuda","bermuda","$962,258,000","2021",50,"North America"
"Djibouti","djibouti","$656,207,000","2022",51,"Africa"
"Botswana","botswana","$606,394,000","2022",52,"Africa"
"Andorra","andorra","$467,435,000","2021",53,"Europe"
"French Polynesia","french-polynesia","$411,963,000","2016",54,"Australia and Oceania"
"Timor-Leste","timor-leste","$265,772,000","2022",55,"East and Southeast Asia"
"Aruba","aruba","$230,556,000","2022",56,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","$172,709,000","2018",57,"Central America and the Caribbean"
"Armenia","armenia","$150,994,000","2022",58,"Middle East"
"Burkina Faso","burkina-faso","$77,255,000","2021",59,"Africa"
"Suriname","suriname","$76,321,000","2022",60,"South America"
"Marshall Islands","marshall-islands","$76,263,000","2021",61,"Australia and Oceania"
"Burma","burma","$67,720,000","2019",62,"East and Southeast Asia"
"Liberia","liberia","$64,806,000","2022",63,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$12,000,000","2017",64,"Australia and Oceania"
"Nauru","nauru","$8,406,000","2018",65,"Australia and Oceania"
"Tuvalu","tuvalu","$2,713,000","2022",66,"Australia and Oceania"
"San Marino","san-marino","$0","2017",67,"Europe"
"Puerto Rico","puerto-rico","$0","2017",68,"Central America and the Caribbean"
"Kiribati","kiribati","-$6,460,000","2022",69,"Australia and Oceania"
"Comoros","comoros","-$6,614,000","2022",70,"Africa"
"Laos","laos","-$10,954,000","2022",71,"East and Southeast Asia"
"Guinea-Bissau","guinea-bissau","-$14,128,000","2021",72,"Africa"
"Montserrat","montserrat","-$15,400,000","2017",73,"Central America and the Caribbean"
"Togo","togo","-$20,738,000","2020",74,"Africa"
"Anguilla","anguilla","-$23,200,000","2017",75,"Central America and the Caribbean"
"Tonga","tonga","-$31,432,000","2022",76,"Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","-$33,190,000","2022",77,"Central America and the Caribbean"
"Sint Maarten","sint-maarten","-$41,640,000","2022",78,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","-$52,320,000","2022",79,"Central America and the Caribbean"
"Grenada","grenada","-$55,225,000","2022",80,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","-$68,589,000","2022",81,"Africa"
"Samoa","samoa","-$78,203,000","2022",82,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","-$79,437,000","2022",83,"Africa"
"Gambia, The","gambia-the","-$90,251,000","2022",84,"Africa"
"Jamaica","jamaica","-$129,756,000","2022",85,"Central America and the Caribbean"
"Dominica","dominica","-$133,580,000","2022",86,"Central America and the Caribbean"
"Palau","palau","-$135,428,000","2022",87,"Australia and Oceania"
"Eritrea","eritrea","-$137,000,000","2017",88,"Africa"
"Eswatini","eswatini","-$140,972,000","2022",89,"Africa"
"Vanuatu","vanuatu","-$142,128,000","2022",90,"Australia and Oceania"
"Seychelles","seychelles","-$142,526,000","2022",91,"Africa"
"Central African Republic","central-african-republic","-$163,000,000","2017",92,"Africa"
"Lesotho","lesotho","-$177,918,000","2022",93,"Africa"
"Bolivia","bolivia","-$183,602,000","2022",94,"South America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","-$184,796,000","2022",95,"Central America and the Caribbean"
"Nicaragua","nicaragua","-$215,895,000","2022",96,"Central America and the Caribbean"
"Solomon Islands","solomon-islands","-$218,534,000","2022",97,"Australia and Oceania"
"Belize","belize","-$234,493,000","2022",98,"Central America and the Caribbean"
"Guyana","guyana","-$254,121,000","2022",99,"South America"
"Antigua and Barbuda","antigua-and-barbuda","-$284,522,000","2022",100,"Central America and the Caribbean"
"Barbados","barbados","-$296,396,000","2017",101,"Central America and the Caribbean"
"Sierra Leone","sierra-leone","-$358,390,000","2021",102,"Africa"
"Burundi","burundi","-$362,645,000","2018",103,"Africa"
"Somalia","somalia","-$464,000,000","2017",104,"Africa"
"Haiti","haiti","-$491,954,000","2022",105,"Central America and the Caribbean"
"Chad","chad","-$558,000,000","2017",106,"Africa"
"Iceland","iceland","-$577,122,000","2022",107,"Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","-$587,407,000","2021",108,"Africa"
"Bulgaria","bulgaria","-$591,650,000","2022",109,"Europe"
"South Sudan","south-sudan","-$596,748,000","2022",110,"Africa"
"Slovenia","slovenia","-$617,374,000","2022",111,"Europe"
"New Caledonia","new-caledonia","-$654,237,000","2016",112,"Australia and Oceania"
"Gabon","gabon","-$725,000,000","2017",113,"Africa"
"Benin","benin","-$734,659,000","2021",114,"Africa"
"Equatorial Guinea","equatorial-guinea","-$738,000,000","2017",115,"Africa"
"Montenegro","montenegro","-$817,858,000","2022",116,"Europe"
"Cayman Islands","cayman-islands","-$821,404,000","2021",117,"Central America and the Caribbean"
"Madagascar","madagascar","-$829,376,000","2022",118,"Africa"
"Bhutan","bhutan","-$852,583,000","2022",119,"South Asia"
"North Macedonia","north-macedonia","-$864,777,000","2022",120,"Europe"
"Fiji","fiji","-$865,665,000","2022",121,"Australia and Oceania"
"Curacao","curacao","-$877,284,000","2022",122,"Central America and the Caribbean"
"Kosovo","kosovo","-$983,283,000","2022",123,"Europe"
"Malta","malta","-$1,020,000,000","2022",124,"Europe"
"Maldives","maldives","-$1,033,000,000","2022",125,"South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","-$1,065,000,000","2022",126,"Europe"
"Vietnam","vietnam","-$1,074,000,000","2022",127,"East and Southeast Asia"
"Albania","albania","-$1,117,000,000","2022",128,"Europe"
"Georgia","georgia","-$1,120,000,000","2022",129,"Middle East"
"Tanzania","tanzania","-$1,122,000,000","2020",130,"Africa"
"Estonia","estonia","-$1,231,000,000","2022",131,"Europe"
"Austria","austria","-$1,290,000,000","2022",132,"Europe"
"Rwanda","rwanda","-$1,301,000,000","2022",133,"Africa"
"Mauritania","mauritania","-$1,424,000,000","2022",134,"Africa"
"Sri Lanka","sri-lanka","-$1,453,000,000","2022",135,"South Asia"
"Croatia","croatia","-$1,464,000,000","2022",136,"Europe"
"Mali","mali","-$1,469,000,000","2021",137,"Africa"
"Mauritius","mauritius","-$1,486,000,000","2022",138,"Africa"
"Cameroon","cameroon","-$1,505,000,000","2022",139,"Africa"
"Ghana","ghana","-$1,517,000,000","2022",140,"Africa"
"Malawi","malawi","-$1,543,000,000","2021",141,"Africa"
"Namibia","namibia","-$1,634,000,000","2022",142,"Africa"
"South Africa","south-africa","-$1,698,000,000","2022",143,"Africa"
"Bahamas, The","bahamas-the","-$1,763,000,000","2022",144,"Central America and the Caribbean"
"Latvia","latvia","-$1,937,000,000","2022",145,"Europe"
"Honduras","honduras","-$2,083,000,000","2022",146,"Central America and the Caribbean"
"Niger","niger","-$2,099,000,000","2021",147,"Africa"
"Syria","syria","-$2,123,000,000","2017",148,"Middle East"
"El Salvador","el-salvador","-$2,146,000,000","2022",149,"Central America and the Caribbean"
"Mongolia","mongolia","-$2,303,000,000","2022",150,"East and Southeast Asia"
"Cyprus","cyprus","-$2,357,000,000","2022",151,"Europe"
"Yemen","yemen","-$2,419,000,000","2016",152,"Middle East"
"Costa Rica","costa-rica","-$2,469,000,000","2022",153,"Central America and the Caribbean"
"Moldova","moldova","-$2,482,000,000","2022",154,"Europe"
"Nepal","nepal","-$2,518,000,000","2022",155,"South Asia"
"Uruguay","uruguay","-$2,620,000,000","2022",156,"South America"
"Paraguay","paraguay","-$2,793,000,000","2022",157,"South America"
"Gaza Strip","gaza-strip","-$2,865,000,000","2022",158,"Middle East"
"West Bank","west-bank","-$2,865,000,000","2022",159,"Middle East"
"Cote d'Ivoire","cote-divoire","-$2,874,000,000","2021",160,"Africa"
"Panama","panama","-$3,001,000,000","2022",161,"Central America and the Caribbean"
"Portugal","portugal","-$3,108,000,000","2022",162,"Europe"
"Afghanistan","afghanistan","-$3,137,000,000","2020",163,"South Asia"
"Senegal","senegal","-$3,327,000,000","2021",164,"Africa"
"Uganda","uganda","-$3,821,000,000","2022",165,"Africa"
"Venezuela","venezuela","-$3,870,000,000","2016",166,"South America"
"Lithuania","lithuania","-$3,874,000,000","2022",167,"Europe"
"Tunisia","tunisia","-$4,018,000,000","2022",168,"Africa"
"Jordan","jordan","-$4,159,000,000","2022",169,"Middle East"
"Argentina","argentina","-$4,290,000,000","2022",170,"South America"
"Turkmenistan","turkmenistan","-$4,359,000,000","2017",171,"Central Asia"
"Sudan","sudan","-$4,443,000,000","2022",172,"Africa"
"Serbia","serbia","-$4,457,000,000","2022",173,"Europe"
"Morocco","morocco","-$4,775,000,000","2022",174,"Africa"
"Ethiopia","ethiopia","-$5,160,000,000","2022",175,"Africa"
"Kyrgyzstan","kyrgyzstan","-$5,180,000,000","2022",176,"Central Asia"
"Belgium","belgium","-$5,304,000,000","2022",177,"Europe"
"Kenya","kenya","-$5,766,000,000","2022",178,"Africa"
"Mozambique","mozambique","-$6,295,000,000","2022",179,"Africa"
"Dominican Republic","dominican-republic","-$6,327,000,000","2022",180,"Central America and the Caribbean"
"Lebanon","lebanon","-$6,481,000,000","2022",181,"Middle East"
"Canada","canada","-$6,654,000,000","2022",182,"North America"
"Finland","finland","-$7,318,000,000","2022",183,"Europe"
"Cambodia","cambodia","-$7,582,000,000","2022",184,"East and Southeast Asia"
"Slovakia","slovakia","-$8,452,000,000","2022",185,"Europe"
"Peru","peru","-$9,908,000,000","2022",186,"South America"
"Egypt","egypt","-$10,537,000,000","2022",187,"Africa"
"Pakistan","pakistan","-$11,998,000,000","2022",188,"South Asia"
"Hungary","hungary","-$14,240,000,000","2022",189,"Europe"
"Bangladesh","bangladesh","-$14,370,000,000","2022",190,"South Asia"
"Thailand","thailand","-$15,742,000,000","2022",191,"East and Southeast Asia"
"Poland","poland","-$16,697,000,000","2022",192,"Europe"
"Czechia","czechia","-$17,366,000,000","2022",193,"Europe"
"Mexico","mexico","-$18,046,000,000","2022",194,"North America"
"Philippines","philippines","-$18,116,000,000","2022",195,"East and Southeast Asia"
"Colombia","colombia","-$21,526,000,000","2022",196,"South America"
"New Zealand","new-zealand","-$21,627,000,000","2022",197,"Australia and Oceania"
"Greece","greece","-$22,623,000,000","2022",198,"Europe"
"Chile","chile","-$27,102,000,000","2022",199,"South America"
"Romania","romania","-$27,326,000,000","2022",200,"Europe"
"Italy","italy","-$30,222,000,000","2022",201,"Europe"
"Turkey (Turkiye)","turkey-turkiye","-$48,751,000,000","2022",202,"Middle East"
"Brazil","brazil","-$53,620,000,000","2022",203,"South America"
"France","france","-$56,672,000,000","2022",204,"Europe"
"India","india","-$79,051,000,000","2022",205,"South Asia"
"United Kingdom","united-kingdom","-$101,738,000,000","2022",206,"Europe"
"United States","united-states","-$971,594,000,000","2022",207,"North America"
