name,slug,value,date_of_information,ranking,region
"China","china","$3,716,000,000,000","2022",1,"East and Southeast Asia"
"United States","united-states","$3,018,000,000,000","2022",2,"North America"
"Germany","germany","$2,060,000,000,000","2022",3,"Europe"
"United Kingdom","united-kingdom","$1,024,000,000,000","2022",4,"Europe"
"France","france","$1,013,000,000,000","2022",5,"Europe"
"Netherlands","netherlands","$944,421,000,000","2022",6,"Europe"
"Japan","japan","$921,212,000,000","2022",7,"East and Southeast Asia"
"Singapore","singapore","$870,806,000,000","2022",8,"East and Southeast Asia"
"Korea, South","korea-south","$820,643,000,000","2022",9,"East and Southeast Asia"
"India","india","$767,643,000,000","2022",10,"South Asia"
"Italy","italy","$751,092,000,000","2022",11,"Europe"
"Ireland","ireland","$729,135,000,000","2022",12,"Europe"
"Canada","canada","$722,831,000,000","2022",13,"North America"
"Hong Kong","hong-kong","$697,586,000,000","2022",14,"East and Southeast Asia"
"Russia","russia","$640,688,000,000","2022",15,"Central Asia"
"Switzerland","switzerland","$627,540,000,000","2022",16,"Europe"
"Mexico","mexico","$626,298,000,000","2022",17,"North America"
"Spain","spain","$578,039,000,000","2022",18,"Europe"
"Belgium","belgium","$558,271,000,000","2022",19,"Europe"
"Australia","australia","$464,925,000,000","2022",20,"Australia and Oceania"
"Saudi Arabia","saudi-arabia","$445,882,000,000","2022",21,"Middle East"
"Poland","poland","$434,008,000,000","2022",22,"Europe"
"Taiwan","taiwan","$388,490,000,000","2019",23,"East and Southeast Asia"
"Vietnam","vietnam","$384,204,000,000","2022",24,"East and Southeast Asia"
"Brazil","brazil","$380,619,000,000","2022",25,"South America"
"Turkey (Turkiye)","turkey-turkiye","$343,688,000,000","2022",26,"Middle East"
"United Arab Emirates","united-arab-emirates","$335,238,000,000","2020",27,"Middle East"
"Thailand","thailand","$324,063,000,000","2022",28,"East and Southeast Asia"
"Norway","norway","$321,093,000,000","2022",29,"Europe"
"Indonesia","indonesia","$315,584,000,000","2022",30,"East and Southeast Asia"
"Sweden","sweden","$314,019,000,000","2022",31,"Europe"
"Malaysia","malaysia","$312,857,000,000","2022",32,"East and Southeast Asia"
"Austria","austria","$292,012,000,000","2022",33,"Europe"
"Denmark","denmark","$279,939,000,000","2022",34,"Europe"
"Czechia","czechia","$217,731,000,000","2022",35,"Europe"
"Luxembourg","luxembourg","$172,145,000,000","2022",36,"Europe"
"Israel","israel","$166,227,000,000","2022",37,"Middle East"
"Hungary","hungary","$161,761,000,000","2022",38,"Europe"
"Qatar","qatar","$161,693,000,000","2022",39,"Middle East"
"South Africa","south-africa","$136,112,000,000","2022",40,"Africa"
