name,slug,%,date_of_information,ranking,region
"Sierra Leone","sierra-leone","60.7","2017",1,"Africa"
"Somalia","somalia","60.2","2013",2,"Africa"
"Chad","chad","52.3","2017",3,"Africa"
"Guinea-Bissau","guinea-bissau","50","2017",4,"Africa"
"Comoros","comoros","47.7","2017",5,"Africa"
"Central African Republic","central-african-republic","43.2","2017",6,"Africa"
"Mali","mali","41.8","2017",7,"Africa"
"Niger","niger","41.6","2017",8,"Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","41","2015",9,"South America"
"Sudan","sudan","39.6","2017",10,"Africa"
"Burundi","burundi","39.5","2017",11,"Africa"
"Ethiopia","ethiopia","34.8","2017",12,"Africa"
"Kenya","kenya","34.5","2017",13,"Africa"
"Solomon Islands","solomon-islands","34.3","2017",14,"Australia and Oceania"
"Liberia","liberia","34","2017",15,"Africa"
"Burkina Faso","burkina-faso","31","2017",16,"Africa"
"Rwanda","rwanda","30.9","2017",17,"Africa"
"Togo","togo","28.8","2017",18,"Africa"
"Malawi","malawi","28.6","2017",19,"Africa"
"Tajikistan","tajikistan","28.6","2017",20,"Central Asia"
"Uganda","uganda","28.2","2017",21,"Africa"
"Mauritania","mauritania","27.8","2017",22,"Africa"
"American Samoa","american-samoa","27.4","2012",23,"Australia and Oceania"
"Vanuatu","vanuatu","27.3","2017",24,"Australia and Oceania"
"Nepal","nepal","27","2017",25,"South Asia"
"Micronesia, Federated States of","micronesia-federated-states-of","26.3","2013",26,"Australia and Oceania"
"Benin","benin","26.1","2017",27,"Africa"
"Cambodia","cambodia","25.3","2017",28,"East and Southeast Asia"
"Tuvalu","tuvalu","24.5","2012",29,"Australia and Oceania"
"Pakistan","pakistan","24.4","2016",30,"South Asia"
"Burma","burma","24.1","2017",31,"East and Southeast Asia"
"Madagascar","madagascar","24","2017",32,"Africa"
"Mozambique","mozambique","23.9","2017",33,"Africa"
"Niue","niue","23.5","2003",34,"Australia and Oceania"
"Tanzania","tanzania","23.4","2017",35,"Africa"
"Afghanistan","afghanistan","23","2016",36,"South Asia"
"Kiribati","kiribati","23","2016",37,"Australia and Oceania"
"Korea, North","korea-north","22.5","2017",38,"East and Southeast Asia"
"Dominica","dominica","22.3","2017",39,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","22.1","2017",40,"East and Southeast Asia"
"Haiti","haiti","22.1","2017",41,"Central America and the Caribbean"
"Albania","albania","21.7","2017",42,"Europe"
