name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","63","2014",1,"Africa"
"Namibia","namibia","59.1","2015",2,"Africa"
"Zambia","zambia","55.9","2015",3,"Africa"
"Eswatini","eswatini","54.6","2016",4,"Africa"
"Hong Kong","hong-kong","53.9","2016",5,"East and Southeast Asia"
"Botswana","botswana","53.3","2015",6,"Africa"
"Brazil","brazil","52.9","2021",7,"South America"
"Colombia","colombia","51.5","2021",8,"South America"
"Angola","angola","51.3","2018",9,"Africa"
"Saint Lucia","saint-lucia","51.2","2016",10,"Central America and the Caribbean"
"Panama","panama","50.9","2021",11,"Central America and the Caribbean"
"Mozambique","mozambique","50.5","2019",12,"Africa"
"Zimbabwe","zimbabwe","50.3","2020",13,"Africa"
"Congo, Republic of the","congo-republic-of-the","48.9","2011",14,"Africa"
"Guatemala","guatemala","48.3","2014",15,"Central America and the Caribbean"
"Honduras","honduras","48.2","2019",16,"Central America and the Caribbean"
"Costa Rica","costa-rica","47.2","2022",17,"Central America and the Caribbean"
"Cameroon","cameroon","46.6","2014",18,"Africa"
"Nicaragua","nicaragua","46.2","2014",19,"Central America and the Caribbean"
"Singapore","singapore","45.9","2017",20,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","45.9","2013",21,"Middle East"
"Ecuador","ecuador","45.5","2022",22,"South America"
"Mexico","mexico","45.4","2020",23,"North America"
"Comoros","comoros","45.3","2014",24,"Africa"
"Paraguay","paraguay","45.1","2022",25,"South America"
"Chile","chile","44.9","2020",26,"South America"
"Lesotho","lesotho","44.9","2017",27,"Africa"
"Guyana","guyana","44.6","2007",28,"South America"
"South Sudan","south-sudan","44.1","2016",29,"Africa"
"Rwanda","rwanda","43.7","2016",30,"Africa"
"Ghana","ghana","43.5","2016",31,"Africa"
"Burkina Faso","burkina-faso","43","2018",32,"Africa"
"Central African Republic","central-african-republic","43","2021",33,"Africa"
"Uganda","uganda","42.7","2019",34,"Africa"
"Madagascar","madagascar","42.6","2012",35,"Africa"
"Togo","togo","42.5","2018",36,"Africa"
"Cabo Verde","cabo-verde","42.4","2015",37,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","42.1","2012",38,"Africa"
"Argentina","argentina","42","2021",39,"South America"
"Turkey (Turkiye)","turkey-turkiye","41.9","2019",40,"Middle East"
"Papua New Guinea","papua-new-guinea","41.9","2009",41,"East and Southeast Asia"
"Djibouti","djibouti","41.6","2017",42,"Africa"
"Malaysia","malaysia","41.2","2018",43,"East and Southeast Asia"
"Qatar","qatar","41.1","2007",44,"Middle East"
"Haiti","haiti","41.1","2012",45,"Central America and the Caribbean"
"Iran","iran","40.9","2019",46,"Middle East"
"Bolivia","bolivia","40.9","2021",47,"South America"
"Uruguay","uruguay","40.8","2021",48,"South America"
"Turkmenistan","turkmenistan","40.8","1998",49,"Central Asia"
"Philippines","philippines","40.7","2021",50,"East and Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","40.7","2017",51,"Africa"
"Tanzania","tanzania","40.5","2018",52,"Africa"
"Bulgaria","bulgaria","40.5","2020",53,"Europe"
"Peru","peru","40.2","2021",54,"South America"
"Micronesia, Federated States of","micronesia-federated-states-of","40.1","2013",55,"Australia and Oceania"
"United States","united-states","39.8","2021",56,"North America"
"Morocco","morocco","39.5","2013",57,"Africa"
"Tuvalu","tuvalu","39.1","2010",58,"Australia and Oceania"
"Venezuela","venezuela","39","2011",59,"South America"
"El Salvador","el-salvador","38.8","2022",60,"Central America and the Caribbean"
"Laos","laos","38.8","2018",61,"East and Southeast Asia"
"Gambia, The","gambia-the","38.8","2020",62,"Africa"
"Kenya","kenya","38.7","2021",63,"Africa"
"Samoa","samoa","38.7","2013",64,"Australia and Oceania"
"Israel","israel","38.6","2018",65,"Middle East"
"Burundi","burundi","38.6","2013",66,"Africa"
"Malawi","malawi","38.5","2019",67,"Africa"
"Dominican Republic","dominican-republic","38.5","2021",68,"Central America and the Caribbean"
"Senegal","senegal","38.3","2018",69,"Africa"
"Gabon","gabon","38","2017",70,"Africa"
"Indonesia","indonesia","37.9","2022",71,"East and Southeast Asia"
"Cambodia","cambodia","37.9","2008",72,"East and Southeast Asia"
"Benin","benin","37.9","2018",73,"Africa"
"Sri Lanka","sri-lanka","37.7","2019",74,"South Asia"
"Chad","chad","37.5","2018",75,"Africa"
"Niger","niger","37.3","2018",76,"Africa"
"Cote d'Ivoire","cote-divoire","37.2","2018",77,"Africa"
"Solomon Islands","solomon-islands","37.1","2013",78,"Australia and Oceania"
"China","china","37.1","2020",79,"East and Southeast Asia"
"Uzbekistan","uzbekistan","36.8","2003",80,"Central Asia"
"Montenegro","montenegro","36.8","2018",81,"Europe"
"Somalia","somalia","36.8","2017",82,"Africa"
"Vietnam","vietnam","36.8","2020",83,"East and Southeast Asia"
"Mauritius","mauritius","36.8","2017",84,"Africa"
"Yemen","yemen","36.7","2014",85,"Middle East"
"New Zealand","new-zealand","36.2","1997",86,"Australia and Oceania"
"Russia","russia","36","2020",87,"Central Asia"
"Mali","mali","36","2018",88,"Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","36","2015",89,"South America"
"Lithuania","lithuania","36","2020",90,"Europe"
"Sierra Leone","sierra-leone","35.7","2018",91,"Africa"
"Latvia","latvia","35.7","2020",92,"Europe"
"Marshall Islands","marshall-islands","35.5","2019",93,"Australia and Oceania"
"Liberia","liberia","35.3","2016",94,"Africa"
"Italy","italy","35.2","2020",95,"Europe"
"Thailand","thailand","35.1","2021",96,"East and Southeast Asia"
"Nigeria","nigeria","35.1","2018",97,"Africa"
"Serbia","serbia","35","2020",98,"Europe"
"Ethiopia","ethiopia","35","2015",99,"Africa"
"Macau","macau","35","2013",100,"East and Southeast Asia"
"Jamaica","jamaica","35","2016",101,"Central America and the Caribbean"
"Spain","spain","34.9","2020",102,"Europe"
"Nauru","nauru","34.8","2012",103,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","34.8","2018",104,"Africa"
"Portugal","portugal","34.7","2020",105,"Europe"
"Romania","romania","34.6","2020",106,"Europe"
"Australia","australia","34.3","2018",107,"Australia and Oceania"
"India","india","34.2","2021",108,"South Asia"
"Georgia","georgia","34.2","2021",109,"Middle East"
"Sudan","sudan","34.2","2014",110,"Africa"
"Tajikistan","tajikistan","34","2015",111,"Central Asia"
"Greenland","greenland","33.9","2015",112,"North America"
"Jordan","jordan","33.7","2010",113,"Middle East"
"West Bank","west-bank","33.7","2016",114,"Middle East"
"Azerbaijan","azerbaijan","33.7","2008",115,"Middle East"
"Gaza Strip","gaza-strip","33.7","2016",116,"Middle East"
"Taiwan","taiwan","33.6","2014",117,"East and Southeast Asia"
"Greece","greece","33.6","2020",118,"Europe"
"North Macedonia","north-macedonia","33.5","2019",119,"Europe"
"Tonga","tonga","33.5","2015",120,"Australia and Oceania"
"Luxembourg","luxembourg","33.4","2020",121,"Europe"
"Switzerland","switzerland","33.1","2018",122,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","33","2011",123,"Europe"
"Japan","japan","32.9","2013",124,"East and Southeast Asia"
"Tunisia","tunisia","32.8","2015",125,"Africa"
"Nepal","nepal","32.8","2010",126,"South Asia"
"Mongolia","mongolia","32.7","2018",127,"East and Southeast Asia"
"Mauritania","mauritania","32.6","2014",128,"Africa"
"United Kingdom","united-kingdom","32.6","2020",129,"Europe"
"Vanuatu","vanuatu","32.3","2019",130,"Australia and Oceania"
"Seychelles","seychelles","32.1","2018",131,"Africa"
"Egypt","egypt","31.9","2019",132,"Africa"
"Lebanon","lebanon","31.8","2011",133,"Middle East"
"Bangladesh","bangladesh","31.8","2022",134,"South Asia"
"Germany","germany","31.7","2019",135,"Europe"
"Cyprus","cyprus","31.7","2020",136,"Europe"
"Canada","canada","31.7","2019",137,"North America"
"Malta","malta","31.4","2020",138,"Europe"
"Korea, South","korea-south","31.4","2016",139,"East and Southeast Asia"
"Fiji","fiji","30.7","2019",140,"Australia and Oceania"
"Estonia","estonia","30.7","2020",141,"Europe"
"France","france","30.7","2020",142,"Europe"
"Burma","burma","30.7","2017",143,"East and Southeast Asia"
"Austria","austria","29.8","2020",144,"Europe"
"Hungary","hungary","29.7","2020",145,"Europe"
"Pakistan","pakistan","29.6","2018",146,"South Asia"
"Guinea","guinea","29.6","2018",147,"Africa"
"Iraq","iraq","29.5","2012",148,"Middle East"
"Croatia","croatia","29.5","2020",149,"Europe"
"Afghanistan","afghanistan","29.4","2008",150,"South Asia"
"Albania","albania","29.4","2020",151,"Europe"
"Maldives","maldives","29.3","2019",152,"South Asia"
"Ireland","ireland","29.2","2020",153,"Europe"
"Kosovo","kosovo","29","2017",154,"Europe"
"Kyrgyzstan","kyrgyzstan","29","2020",155,"Central Asia"
"Sweden","sweden","28.9","2020",156,"Europe"
"Poland","poland","28.8","2019",157,"Europe"
"Timor-Leste","timor-leste","28.7","2014",158,"East and Southeast Asia"
"Bhutan","bhutan","28.5","2022",159,"South Asia"
"Armenia","armenia","27.9","2021",160,"Middle East"
"Kiribati","kiribati","27.8","2019",161,"Australia and Oceania"
"Kazakhstan","kazakhstan","27.8","2018",162,"Central Asia"
"Norway","norway","27.7","2019",163,"Europe"
"Algeria","algeria","27.6","2011",164,"Africa"
"Denmark","denmark","27.5","2020",165,"Europe"
"Finland","finland","27.1","2020",166,"Europe"
"Czechia","czechia","26.2","2020",167,"Europe"
"Iceland","iceland","26.1","2017",168,"Europe"
"Belgium","belgium","26","2020",169,"Europe"
"Netherlands","netherlands","26","2020",170,"Europe"
"United Arab Emirates","united-arab-emirates","26","2018",171,"Middle East"
"Moldova","moldova","25.7","2021",172,"Europe"
"Ukraine","ukraine","25.6","2020",173,"Europe"
"Belarus","belarus","24.4","2020",174,"Europe"
"Slovenia","slovenia","24","2020",175,"Europe"
"Slovakia","slovakia","23.2","2019",176,"Europe"
"Faroe Islands","faroe-islands","22.7","2013",177,"Europe"
"Jersey","jersey","0.3","2014",178,"Europe"
