name,slug,value,date_of_information,ranking,region
"United States","united-states","$3,970,000,000,000","2022",1,"North America"
"China","china","$3,139,000,000,000","2022",2,"East and Southeast Asia"
"Germany","germany","$1,973,000,000,000","2022",3,"Europe"
"United Kingdom","united-kingdom","$1,112,000,000,000","2022",4,"Europe"
"France","france","$1,103,000,000,000","2022",5,"Europe"
"Japan","japan","$1,080,000,000,000","2022",6,"East and Southeast Asia"
"India","india","$902,304,000,000","2022",7,"South Asia"
"Netherlands","netherlands","$835,470,000,000","2022",8,"Europe"
"Korea, South","korea-south","$811,129,000,000","2022",9,"East and Southeast Asia"
"Italy","italy","$781,083,000,000","2022",10,"Europe"
"Canada","canada","$719,339,000,000","2022",11,"North America"
"Singapore","singapore","$701,629,000,000","2022",12,"East and Southeast Asia"
"Hong Kong","hong-kong","$683,415,000,000","2022",13,"East and Southeast Asia"
"Mexico","mexico","$668,590,000,000","2022",14,"North America"
"Belgium","belgium","$567,164,000,000","2022",15,"Europe"
"Spain","spain","$561,490,000,000","2022",16,"Europe"
"Switzerland","switzerland","$518,451,000,000","2022",17,"Europe"
"Ireland","ireland","$516,084,000,000","2022",18,"Europe"
"Poland","poland","$421,226,000,000","2022",19,"Europe"
"Turkey (Turkiye)","turkey-turkiye","$383,500,000,000","2022",20,"Middle East"
"Brazil","brazil","$376,084,000,000","2022",21,"South America"
"Vietnam","vietnam","$371,111,000,000","2022",22,"East and Southeast Asia"
"Australia","australia","$367,458,000,000","2022",23,"Australia and Oceania"
"Russia","russia","$347,375,000,000","2022",24,"Central Asia"
"Thailand","thailand","$334,478,000,000","2022",25,"East and Southeast Asia"
"Taiwan","taiwan","$308,744,000,000","2019",26,"East and Southeast Asia"
"Sweden","sweden","$296,552,000,000","2022",27,"Europe"
"Austria","austria","$290,277,000,000","2022",28,"Europe"
"Malaysia","malaysia","$283,601,000,000","2022",29,"East and Southeast Asia"
"Indonesia","indonesia","$273,249,000,000","2022",30,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$258,213,000,000","2022",31,"Middle East"
"United Arab Emirates","united-arab-emirates","$246,886,000,000","2020",32,"Middle East"
"Denmark","denmark","$235,680,000,000","2022",33,"Europe"
"Czechia","czechia","$218,002,000,000","2022",34,"Europe"
"Hungary","hungary","$169,199,000,000","2022",35,"Europe"
"Norway","norway","$156,892,000,000","2022",36,"Europe"
"Philippines","philippines","$152,656,000,000","2022",37,"East and Southeast Asia"
"Israel","israel","$150,804,000,000","2022",38,"Middle East"
"Romania","romania","$149,209,000,000","2022",39,"Europe"
"Luxembourg","luxembourg","$141,761,000,000","2022",40,"Europe"
"Finland","finland","$134,721,000,000","2022",41,"Europe"
"Portugal","portugal","$131,627,000,000","2022",42,"Europe"
"Greece","greece","$127,820,000,000","2022",43,"Europe"
"South Africa","south-africa","$127,596,000,000","2022",44,"Africa"
"Slovakia","slovakia","$120,622,000,000","2022",45,"Europe"
"Chile","chile","$118,094,000,000","2022",46,"South America"
"Argentina","argentina","$97,558,000,000","2022",47,"South America"
"Egypt","egypt","$97,144,000,000","2022",48,"Africa"
"Somalia","somalia","$94,430,000,000","2018",49,"Africa"
"Bangladesh","bangladesh","$93,815,000,000","2022",50,"South Asia"
"Colombia","colombia","$89,540,000,000","2022",51,"South America"
"Ukraine","ukraine","$83,254,000,000","2022",52,"Europe"
"Nigeria","nigeria","$77,049,000,000","2022",53,"Africa"
"Pakistan","pakistan","$76,426,000,000","2022",54,"South Asia"
"Iran","iran","$76,390,000,000","2017",55,"Middle East"
"Qatar","qatar","$74,520,000,000","2022",56,"Middle East"
"Morocco","morocco","$73,783,000,000","2022",57,"Africa"
"New Zealand","new-zealand","$71,350,000,000","2022",58,"Australia and Oceania"
"Peru","peru","$69,506,000,000","2022",59,"South America"
"Iraq","iraq","$69,162,000,000","2022",60,"Middle East"
"Lithuania","lithuania","$62,853,000,000","2022",61,"Europe"
"Bulgaria","bulgaria","$60,252,000,000","2022",62,"Europe"
"Kazakhstan","kazakhstan","$60,147,000,000","2022",63,"Central Asia"
"Kuwait","kuwait","$55,909,000,000","2022",64,"Middle East"
"Slovenia","slovenia","$55,158,000,000","2022",65,"Europe"
"Puerto Rico","puerto-rico","$49,010,000,000","2017",66,"Central America and the Caribbean"
"Serbia","serbia","$47,395,000,000","2022",67,"Europe"
"Algeria","algeria","$46,617,000,000","2022",68,"Africa"
"Oman","oman","$46,326,000,000","2022",69,"Middle East"
"Croatia","croatia","$46,307,000,000","2022",70,"Europe"
"Belarus","belarus","$42,280,000,000","2022",71,"Europe"
"Dominican Republic","dominican-republic","$36,360,000,000","2022",72,"Central America and the Caribbean"
"Ecuador","ecuador","$36,051,000,000","2022",73,"South America"
"Panama","panama","$35,692,000,000","2022",74,"Central America and the Caribbean"
"Uzbekistan","uzbekistan","$35,610,000,000","2022",75,"Central Asia"
"Cambodia","cambodia","$34,759,000,000","2022",76,"East and Southeast Asia"
"Guatemala","guatemala","$33,938,000,000","2022",77,"Central America and the Caribbean"
"Bahrain","bahrain","$33,066,000,000","2022",78,"Middle East"
"Estonia","estonia","$32,671,000,000","2022",79,"Europe"
"Latvia","latvia","$31,213,000,000","2022",80,"Europe"
"Jordan","jordan","$29,955,000,000","2022",81,"Middle East"
"Angola","angola","$28,564,000,000","2022",82,"Africa"
"Cyprus","cyprus","$27,658,000,000","2022",83,"Europe"
"Costa Rica","costa-rica","$26,602,000,000","2022",84,"Central America and the Caribbean"
"Ghana","ghana","$26,329,000,000","2022",85,"Africa"
"Libya","libya","$25,406,000,000","2021",86,"Africa"
"Kenya","kenya","$24,406,000,000","2022",87,"Africa"
"Ethiopia","ethiopia","$24,187,000,000","2022",88,"Africa"
"Lebanon","lebanon","$24,163,000,000","2022",89,"Middle East"
"Malta","malta","$23,883,000,000","2022",90,"Europe"
"Burma","burma","$23,100,000,000","2021",91,"East and Southeast Asia"
"Tunisia","tunisia","$22,536,000,000","2022",92,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$22,193,000,000","2021",93,"Africa"
"Azerbaijan","azerbaijan","$21,274,000,000","2022",94,"Middle East"
"Macau","macau","$21,267,000,000","2022",95,"East and Southeast Asia"
"Sri Lanka","sri-lanka","$19,244,000,000","2022",96,"South Asia"
"Uruguay","uruguay","$18,894,000,000","2022",97,"South America"
"Venezuela","venezuela","$18,432,000,000","2018",98,"South America"
"El Salvador","el-salvador","$18,070,000,000","2022",99,"Central America and the Caribbean"
"Honduras","honduras","$17,957,000,000","2022",100,"Central America and the Caribbean"
"Paraguay","paraguay","$17,142,000,000","2022",101,"South America"
"Cote d'Ivoire","cote-divoire","$16,191,000,000","2021",102,"Africa"
"Mozambique","mozambique","$15,913,000,000","2022",103,"Africa"
"Georgia","georgia","$15,665,000,000","2022",104,"Middle East"
"Nepal","nepal","$15,462,000,000","2022",105,"South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$15,162,000,000","2022",106,"Europe"
"Bolivia","bolivia","$14,577,000,000","2022",107,"South America"
"Iceland","iceland","$13,146,000,000","2022",108,"Europe"
"North Macedonia","north-macedonia","$13,008,000,000","2022",109,"Europe"
"Gaza Strip","gaza-strip","$12,874,000,000","2022",110,"Middle East"
"West Bank","west-bank","$12,874,000,000","2022",111,"Middle East"
"Senegal","senegal","$12,278,000,000","2021",112,"Africa"
"Mongolia","mongolia","$12,112,000,000","2022",113,"East and Southeast Asia"
"Sudan","sudan","$11,575,000,000","2022",114,"Africa"
"Uganda","uganda","$11,145,000,000","2022",115,"Africa"
"Cuba","cuba","$11,060,000,000","2017",116,"Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","$10,694,000,000","2022",117,"Central America and the Caribbean"
"Kyrgyzstan","kyrgyzstan","$10,655,000,000","2022",118,"Central Asia"
"Moldova","moldova","$10,265,000,000","2022",119,"Europe"
"Nicaragua","nicaragua","$10,213,000,000","2022",120,"Central America and the Caribbean"
"Armenia","armenia","$10,186,000,000","2022",121,"Middle East"
"Brunei","brunei","$10,106,000,000","2022",122,"East and Southeast Asia"
"Zambia","zambia","$10,022,000,000","2022",123,"Africa"
"Cameroon","cameroon","$9,759,000,000","2022",124,"Africa"
"Jamaica","jamaica","$9,726,000,000","2022",125,"Central America and the Caribbean"
"Tanzania","tanzania","$9,181,000,000","2020",126,"Africa"
"Albania","albania","$9,016,000,000","2022",127,"Europe"
"Botswana","botswana","$8,700,000,000","2022",128,"Africa"
"Mauritius","mauritius","$8,037,000,000","2022",129,"Africa"
"Laos","laos","$7,772,000,000","2022",130,"East and Southeast Asia"
"Mali","mali","$7,596,000,000","2021",131,"Africa"
"Namibia","namibia","$7,313,000,000","2022",132,"Africa"
"Guyana","guyana","$7,067,000,000","2022",133,"South America"
"Afghanistan","afghanistan","$6,983,000,000","2020",134,"South Asia"
"Kosovo","kosovo","$6,661,000,000","2022",135,"Europe"
"South Sudan","south-sudan","$6,402,000,000","2022",136,"Africa"
"Papua New Guinea","papua-new-guinea","$6,303,000,000","2021",137,"East and Southeast Asia"
"Syria","syria","$6,279,000,000","2017",138,"Middle East"
"Equatorial Guinea","equatorial-guinea","$6,245,000,000","2019",139,"Africa"
"Madagascar","madagascar","$6,041,000,000","2022",140,"Africa"
"Burkina Faso","burkina-faso","$5,835,000,000","2021",141,"Africa"
"Mauritania","mauritania","$5,770,000,000","2022",142,"Africa"
"Guinea","guinea","$5,749,000,000","2022",143,"Africa"
"Bahamas, The","bahamas-the","$5,692,000,000","2022",144,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","$5,489,000,000","2020",145,"Africa"
"Haiti","haiti","$5,451,000,000","2022",146,"Central America and the Caribbean"
"Tajikistan","tajikistan","$5,261,000,000","2022",147,"Central Asia"
"Djibouti","djibouti","$5,096,000,000","2022",148,"Africa"
"Gabon","gabon","$5,020,000,000","2019",149,"Africa"
"Rwanda","rwanda","$4,980,000,000","2022",150,"Africa"
"Benin","benin","$4,925,000,000","2021",151,"Africa"
"Maldives","maldives","$4,904,000,000","2022",152,"South Asia"
"Montenegro","montenegro","$4,614,000,000","2022",153,"Europe"
"Turkmenistan","turkmenistan","$4,571,000,000","2017",154,"Central Asia"
"Yemen","yemen","$4,079,000,000","2017",155,"Middle East"
"Niger","niger","$4,027,000,000","2021",156,"Africa"
"Malawi","malawi","$3,582,000,000","2021",157,"Africa"
"Fiji","fiji","$3,434,000,000","2022",158,"Australia and Oceania"
"Congo, Republic of the","congo-republic-of-the","$3,279,000,000","2020",159,"Africa"
"Guam","guam","$2,964,000,000","2016",160,"Australia and Oceania"
"Curacao","curacao","$2,904,000,000","2022",161,"Central America and the Caribbean"
"Cayman Islands","cayman-islands","$2,743,000,000","2021",162,"Central America and the Caribbean"
"San Marino","san-marino","$2,551,000,000","2011",163,"Europe"
"Virgin Islands","virgin-islands","$2,489,000,000","2016",164,"Central America and the Caribbean"
"Aruba","aruba","$2,429,000,000","2022",165,"Central America and the Caribbean"
"Togo","togo","$2,389,000,000","2020",166,"Africa"
"Suriname","suriname","$2,342,000,000","2022",167,"South America"
"Korea, North","korea-north","$2,320,000,000","2018",168,"East and Southeast Asia"
"Seychelles","seychelles","$2,298,000,000","2022",169,"Africa"
"Eswatini","eswatini","$2,288,000,000","2022",170,"Africa"
"New Caledonia","new-caledonia","$2,260,000,000","2021",171,"Australia and Oceania"
"Lesotho","lesotho","$2,244,000,000","2022",172,"Africa"
"Liechtenstein","liechtenstein","$2,230,000,000","2014",173,"Europe"
"Chad","chad","$2,160,000,000","2017",174,"Africa"
"Andorra","andorra","$2,143,000,000","2021",175,"Europe"
"Barbados","barbados","$2,120,000,000","2021",176,"Central America and the Caribbean"
"Liberia","liberia","$1,961,000,000","2022",177,"Africa"
"Bermuda","bermuda","$1,925,000,000","2021",178,"North America"
"Sierra Leone","sierra-leone","$1,869,000,000","2021",179,"Africa"
"French Polynesia","french-polynesia","$1,660,000,000","2021",180,"Australia and Oceania"
"Bhutan","bhutan","$1,588,000,000","2022",181,"South Asia"
"Belize","belize","$1,574,000,000","2022",182,"Central America and the Caribbean"
"Timor-Leste","timor-leste","$1,396,000,000","2022",183,"East and Southeast Asia"
"Monaco","monaco","$1,371,000,000","2017",184,"Europe"
"Sint Maarten","sint-maarten","$1,318,000,000","2022",185,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","$1,301,000,000","2022",186,"Africa"
"Saint Lucia","saint-lucia","$1,179,000,000","2022",187,"Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","$1,176,000,000","2022",188,"Central America and the Caribbean"
"Eritrea","eritrea","$1,127,000,000","2017",189,"Africa"
"Faroe Islands","faroe-islands","$978,400,000","2016",190,"Europe"
"Burundi","burundi","$905,294,000","2018",191,"Africa"
"Northern Mariana Islands","northern-mariana-islands","$893,000,000","2016",192,"Australia and Oceania"
"Gambia, The","gambia-the","$829,516,000","2022",193,"Africa"
"Grenada","grenada","$802,567,000","2022",194,"Central America and the Caribbean"
"Greenland","greenland","$783,500,000","2015",195,"North America"
"Solomon Islands","solomon-islands","$764,641,000","2022",196,"Australia and Oceania"
"American Samoa","american-samoa","$615,000,000","2016",197,"Australia and Oceania"
"Vanuatu","vanuatu","$577,334,000","2022",198,"Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","$544,219,000","2018",199,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$531,167,000","2022",200,"Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","$518,162,000","2021",201,"Africa"
"Samoa","samoa","$512,002,000","2022",202,"Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$508,404,000","2022",203,"Central America and the Caribbean"
"Comoros","comoros","$479,940,000","2022",204,"Africa"
"Central African Republic","central-african-republic","$393,100,000","2017",205,"Africa"
"Dominica","dominica","$349,052,000","2022",206,"Central America and the Caribbean"
"Tonga","tonga","$329,146,000","2022",207,"Australia and Oceania"
"British Virgin Islands","british-virgin-islands","$300,000,000","2017",208,"Central America and the Caribbean"
"Kiribati","kiribati","$254,438,000","2022",209,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$219,322,000","2022",210,"Africa"
"Palau","palau","$216,681,000","2022",211,"Australia and Oceania"
"Cook Islands","cook-islands","$215,000,000","2021",212,"Australia and Oceania"
"Marshall Islands","marshall-islands","$206,025,000","2021",213,"Australia and Oceania"
"Anguilla","anguilla","$186,200,000","2017",214,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","$126,000,000","2021",215,"Australia and Oceania"
"Nauru","nauru","$94,200,000","2021",216,"Australia and Oceania"
"Tuvalu","tuvalu","$57,388,000","2022",217,"Australia and Oceania"
"Niue","niue","$43,800,000","2021",218,"Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$20,530,000","2010",219,"Africa"
"Tokelau","tokelau","$15,792,720","2015",220,"Australia and Oceania"
"Montserrat","montserrat","$15,300,000","2021",221,"Central America and the Caribbean"
