name,slug,value,date_of_information,ranking,region
"China","china","781,808,000","2022",1,"East and Southeast Asia"
"India","india","554,145,000","2022",2,"South Asia"
"United States","united-states","168,190,000","2022",3,"North America"
"Indonesia","indonesia","138,099,000","2022",4,"East and Southeast Asia"
"Brazil","brazil","108,751,000","2022",5,"South America"
"Pakistan","pakistan","78,863,000","2022",6,"South Asia"
"Bangladesh","bangladesh","73,862,000","2022",7,"South Asia"
"Russia","russia","73,799,000","2022",8,"Central Asia"
"Nigeria","nigeria","73,389,000","2022",9,"Africa"
"Japan","japan","69,114,000","2022",10,"East and Southeast Asia"
"Ethiopia","ethiopia","59,752,000","2022",11,"Africa"
"Mexico","mexico","58,718,000","2022",12,"North America"
"Vietnam","vietnam","55,689,000","2022",13,"East and Southeast Asia"
"Philippines","philippines","47,872,000","2022",14,"East and Southeast Asia"
"Germany","germany","44,198,000","2022",15,"Europe"
"Thailand","thailand","40,908,000","2022",16,"East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","34,812,000","2022",17,"Africa"
"Turkey (Turkiye)","turkey-turkiye","34,630,000","2022",18,"Middle East"
"United Kingdom","united-kingdom","34,376,000","2022",19,"Europe"
"Egypt","egypt","32,614,000","2022",20,"Africa"
"France","france","31,617,000","2022",21,"Europe"
"Tanzania","tanzania","30,096,000","2022",22,"Africa"
"Korea, South","korea-south","29,314,000","2022",23,"East and Southeast Asia"
"Iran","iran","28,641,000","2022",24,"Middle East"
"Colombia","colombia","25,771,000","2022",25,"South America"
"Italy","italy","25,342,000","2022",26,"Europe"
"Kenya","kenya","24,750,000","2022",27,"Africa"
"South Africa","south-africa","24,367,000","2022",28,"Africa"
"Spain","spain","23,687,000","2022",29,"Europe"
"Burma","burma","22,527,000","2022",30,"East and Southeast Asia"
"Argentina","argentina","21,511,000","2022",31,"South America"
"Canada","canada","21,363,000","2022",32,"North America"
"Ukraine","ukraine","20,300,000","2021",33,"Europe"
"Poland","poland","18,301,000","2022",34,"Europe"
"Peru","peru","18,268,000","2022",35,"South America"
"Uganda","uganda","18,243,000","2022",36,"Africa"
"Malaysia","malaysia","17,129,000","2022",37,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","16,617,000","2022",38,"Middle East"
"Korea, North","korea-north","15,772,000","2022",39,"East and Southeast Asia"
"Madagascar","madagascar","15,363,000","2022",40,"Africa"
"Angola","angola","14,746,000","2022",41,"Africa"
"Mozambique","mozambique","14,693,000","2022",42,"Africa"
"Ghana","ghana","14,549,000","2022",43,"Africa"
"Australia","australia","14,075,000","2022",44,"Australia and Oceania"
"Uzbekistan","uzbekistan","13,971,000","2022",45,"Central Asia"
"Sudan","sudan","13,450,000","2022",46,"Africa"
"Algeria","algeria","13,023,000","2022",47,"Africa"
"Morocco","morocco","12,183,000","2022",48,"Africa"
"Cameroon","cameroon","11,592,000","2022",49,"Africa"
"Taiwan","taiwan","11,498,000","2020",50,"East and Southeast Asia"
"Iraq","iraq","11,356,000","2022",51,"Middle East"
"Venezuela","venezuela","10,969,000","2022",52,"South America"
"Cote d'Ivoire","cote-divoire","10,609,000","2022",53,"Africa"
"Niger","niger","9,833,000","2022",54,"Africa"
"Netherlands","netherlands","9,794,000","2022",55,"Europe"
"Chile","chile","9,630,000","2022",56,"South America"
