name,slug, migrant(s)/1,000 population,date_of_information,ranking,region
"Syria","syria","45.8","2023",1,"Middle East"
"Ukraine","ukraine","37.3","2023",2,"Europe"
"South Sudan","south-sudan","20","2023",3,"Africa"
"Venezuela","venezuela","13.6","2023",4,"South America"
"British Virgin Islands","british-virgin-islands","13.2","2023",5,"Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","13","2023",6,"Africa"
"Cayman Islands","cayman-islands","12.3","2023",7,"Central America and the Caribbean"
"Luxembourg","luxembourg","11.4","2023",8,"Europe"
"Monaco","monaco","10.9","2023",9,"Europe"
"Anguilla","anguilla","10.5","2023",10,"Central America and the Caribbean"
"Turks and Caicos Islands","turks-and-caicos-islands","8.4","2023",11,"Central America and the Caribbean"
"Aruba","aruba","8.1","2023",12,"Central America and the Caribbean"
"Ireland","ireland","6.8","2023",13,"Europe"
"Burundi","burundi","6.8","2023",14,"Africa"
"Cyprus","cyprus","6.7","2023",15,"Europe"
"Australia","australia","6.4","2023",16,"Australia and Oceania"
"Saudi Arabia","saudi-arabia","6.1","2023",17,"Middle East"
"Switzerland","switzerland","6","2023",18,"Europe"
"South Georgia and South Sandwich Islands","south-georgia-and-south-sandwich-islands","5.9","",19,"South America"
"San Marino","san-marino","5.9","2023",20,"Europe"
"Sint Maarten","sint-maarten","5.8","2023",21,"Central America and the Caribbean"
"Canada","canada","5.4","2023",22,"North America"
"Malta","malta","5","2023",23,"Europe"
"New Zealand","new-zealand","4.8","2023",24,"Australia and Oceania"
"Liechtenstein","liechtenstein","4.8","2023",25,"Europe"
"Isle of Man","isle-of-man","4.5","2023",26,"Europe"
"Djibouti","djibouti","4.4","2023",27,"Africa"
"Spain","spain","4.2","2023",28,"Europe"
"Singapore","singapore","4.2","2023",29,"East and Southeast Asia"
"Belgium","belgium","4.2","2023",30,"Europe"
"Netherlands","netherlands","4.1","2023",31,"Europe"
"Norway","norway","3.8","2023",32,"Europe"
"Sweden","sweden","3.8","2023",33,"Europe"
"Gabon","gabon","3.6","2023",34,"Africa"
"New Caledonia","new-caledonia","3.6","2023",35,"Australia and Oceania"
"Austria","austria","3.5","2023",36,"Europe"
"Czechia","czechia","3.3","2023",37,"Europe"
"Panama","panama","3.2","2023",38,"Central America and the Caribbean"
"Italy","italy","3.2","2023",39,"Europe"
"Bahamas, The","bahamas-the","3.2","2023",40,"Central America and the Caribbean"
"United Kingdom","united-kingdom","3.2","2023",41,"Europe"
"Macau","macau","3.1","2023",42,"East and Southeast Asia"
"United States","united-states","3","2023",43,"North America"
"Botswana","botswana","2.8","2023",44,"Africa"
"Denmark","denmark","2.7","2023",45,"Europe"
"Iceland","iceland","2.7","2023",46,"Europe"
"Hungary","hungary","2.6","2023",47,"Europe"
"Korea, South","korea-south","2.6","2023",48,"East and Southeast Asia"
"Suriname","suriname","2.5","2023",49,"South America"
"Finland","finland","2.3","2023",50,"Europe"
"Brunei","brunei","2.2","2023",51,"East and Southeast Asia"
"Antigua and Barbuda","antigua-and-barbuda","2","2023",52,"Central America and the Caribbean"
"Costa Rica","costa-rica","2","2023",53,"Central America and the Caribbean"
"Israel","israel","1.9","2023",54,"Middle East"
"Germany","germany","1.8","2023",55,"Europe"
"Belize","belize","1.8","2023",56,"Central America and the Caribbean"
"Hong Kong","hong-kong","1.7","2023",57,"East and Southeast Asia"
"Sierra Leone","sierra-leone","1.7","2023",58,"Africa"
"Guernsey","guernsey","1.6","2023",59,"Europe"
"Jersey","jersey","1.5","2023",60,"Europe"
"Malaysia","malaysia","1.5","2023",61,"East and Southeast Asia"
"Slovenia","slovenia","1.5","2023",62,"Europe"
"Bermuda","bermuda","1.4","2023",63,"North America"
"Cote d'Ivoire","cote-divoire","1.2","2023",64,"Africa"
"Portugal","portugal","1.2","2023",65,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.2","2023",66,"Central America and the Caribbean"
"France","france","1.1","2023",67,"Europe"
"Greece","greece","1","2023",68,"Europe"
"Taiwan","taiwan","1","2023",69,"East and Southeast Asia"
"Belarus","belarus","0.9","2023",70,"Europe"
"Russia","russia","0.8","2023",71,"Central Asia"
"Seychelles","seychelles","0.8","2023",72,"Africa"
"Qatar","qatar","0.8","2023",73,"Middle East"
