name,slug,%,date_of_information,ranking,region
"Syria","syria","6.39","2023",1,"Middle East"
"South Sudan","south-sudan","4.78","2023",2,"Africa"
"Niger","niger","3.66","2023",3,"Africa"
"Burundi","burundi","3.59","2023",4,"Africa"
"Equatorial Guinea","equatorial-guinea","3.36","2023",5,"Africa"
"Angola","angola","3.34","2023",6,"Africa"
"Benin","benin","3.31","2023",7,"Africa"
"Uganda","uganda","3.22","2023",8,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","3.13","2023",9,"Africa"
"Chad","chad","3.05","2023",10,"Africa"
"Mali","mali","2.93","2023",11,"Africa"
"Zambia","zambia","2.86","2023",12,"Africa"
"Tanzania","tanzania","2.75","2023",13,"Africa"
"Guinea","guinea","2.75","2023",14,"Africa"
"Cameroon","cameroon","2.73","2023",15,"Africa"
"Mozambique","mozambique","2.55","2023",16,"Africa"
"Sudan","sudan","2.55","2023",17,"Africa"
"Guinea-Bissau","guinea-bissau","2.54","2023",18,"Africa"
"Nigeria","nigeria","2.53","2023",19,"Africa"
"Senegal","senegal","2.52","2023",20,"Africa"
"Somalia","somalia","2.49","2023",21,"Africa"
"Burkina Faso","burkina-faso","2.46","2023",22,"Africa"
"Togo","togo","2.45","2023",23,"Africa"
"Sierra Leone","sierra-leone","2.41","2023",24,"Africa"
"Ethiopia","ethiopia","2.4","2023",25,"Africa"
"Venezuela","venezuela","2.4","2023",26,"South America"
"Congo, Republic of the","congo-republic-of-the","2.4","2023",27,"Africa"
"Gabon","gabon","2.39","2023",28,"Africa"
"Liberia","liberia","2.37","2023",29,"Africa"
"Ukraine","ukraine","2.33","2023",30,"Europe"
"Papua New Guinea","papua-new-guinea","2.31","2023",31,"East and Southeast Asia"
"Malawi","malawi","2.28","2023",32,"Africa"
"Afghanistan","afghanistan","2.26","2023",33,"South Asia"
"Gambia, The","gambia-the","2.23","2023",34,"Africa"
"Madagascar","madagascar","2.22","2023",35,"Africa"
"Ghana","ghana","2.19","2023",36,"Africa"
"Cote d'Ivoire","cote-divoire","2.16","2023",37,"Africa"
"West Bank","west-bank","2.1","2023",38,"Middle East"
"Timor-Leste","timor-leste","2.1","2023",39,"East and Southeast Asia"
"Kenya","kenya","2.09","2023",40,"Africa"
"Gaza Strip","gaza-strip","2.07","2023",41,"Middle East"
"Zimbabwe","zimbabwe","1.99","2023",42,"Africa"
"Mauritania","mauritania","1.96","2023",43,"Africa"
"Iraq","iraq","1.94","2023",44,"Middle East"
"Tajikistan","tajikistan","1.94","2023",45,"Central Asia"
"Djibouti","djibouti","1.93","2023",46,"Africa"
"Pakistan","pakistan","1.91","2023",47,"South Asia"
"British Virgin Islands","british-virgin-islands","1.87","2023",48,"Central America and the Caribbean"
"Yemen","yemen","1.83","2023",49,"Middle East"
"Turks and Caicos Islands","turks-and-caicos-islands","1.81","2023",50,"Central America and the Caribbean"
"Oman","oman","1.8","2023",51,"Middle East"
"Cayman Islands","cayman-islands","1.79","2023",52,"Central America and the Caribbean"
"Central African Republic","central-african-republic","1.77","2023",53,"Africa"
"Anguilla","anguilla","1.77","2023",54,"Central America and the Caribbean"
"Solomon Islands","solomon-islands","1.69","2023",55,"Australia and Oceania"
"Rwanda","rwanda","1.68","2023",56,"Africa"
"Namibia","namibia","1.66","2023",57,"Africa"
"Saudi Arabia","saudi-arabia","1.65","2023",58,"Middle East"
"Algeria","algeria","1.62","2023",59,"Africa"
"Uzbekistan","uzbekistan","1.61","2023",60,"Central Asia"
