name,slug,%,date_of_information,ranking,region
"Guyana","guyana","63.37","2022",1,"South America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","25.5","2015",2,"South America"
"Fiji","fiji","20.02","2022",3,"Australia and Oceania"
"Cabo Verde","cabo-verde","17.12","2022",4,"Africa"
"Saint Lucia","saint-lucia","15.88","2022",5,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","14.37","2022",6,"Central America and the Caribbean"
"Maldives","maldives","13.91","2022",7,"South Asia"
"Armenia","armenia","12.6","2022",8,"Middle East"
"Niger","niger","11.49","2022",9,"Africa"
"Barbados","barbados","11.33","2022",10,"Central America and the Caribbean"
"Monaco","monaco","11.1","2022",11,"Europe"
"Panama","panama","10.81","2022",12,"Central America and the Caribbean"
"Cook Islands","cook-islands","10.5","2022",13,"Australia and Oceania"
"Aruba","aruba","10.46","2022",14,"Central America and the Caribbean"
"Georgia","georgia","10.39","2022",15,"Middle East"
"Sint Maarten","sint-maarten","9.8","2022",16,"Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","9.52","2022",17,"Central America and the Caribbean"
"Ireland","ireland","9.43","2022",18,"Europe"
"Seychelles","seychelles","9","2022",19,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","8.92","2022",20,"Africa"
"Mauritius","mauritius","8.88","2022",21,"Africa"
"Kuwait","kuwait","8.86","2022",22,"Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","8.85","2022",23,"Central America and the Caribbean"
"Andorra","andorra","8.81","2022",24,"Europe"
"Belize","belize","8.73","2022",25,"Central America and the Caribbean"
"Saudi Arabia","saudi-arabia","8.68","2022",26,"Middle East"
"Malaysia","malaysia","8.65","2022",27,"East and Southeast Asia"
"Guernsey","guernsey","8.65","2021",28,"Europe"
"Jersey","jersey","8.65","2021",29,"Europe"
"San Marino","san-marino","8.46","2021",30,"Europe"
"Rwanda","rwanda","8.16","2022",31,"Africa"
"Vietnam","vietnam","8.02","2022",32,"East and Southeast Asia"
"Tajikistan","tajikistan","8","2022",33,"Central Asia"
"Curacao","curacao","7.89","2022",34,"Central America and the Caribbean"
"United Arab Emirates","united-arab-emirates","7.85","2022",35,"Middle East"
"Philippines","philippines","7.57","2022",36,"East and Southeast Asia"
"Namibia","namibia","7.56","2022",37,"Africa"
"Colombia","colombia","7.26","2022",38,"South America"
"India","india","7.24","2022",39,"South Asia"
"Iceland","iceland","7.24","2022",40,"Europe"
"Bangladesh","bangladesh","7.1","2022",41,"South Asia"
"Iraq","iraq","7.01","2022",42,"Middle East"
"Malta","malta","6.92","2022",43,"Europe"
"Israel","israel","6.83","2022",44,"Middle East"
"Portugal","portugal","6.83","2022",45,"Europe"
"Cote d'Ivoire","cote-divoire","6.74","2022",46,"Africa"
"Egypt","egypt","6.59","2022",47,"Africa"
"Zimbabwe","zimbabwe","6.52","2022",48,"Africa"
"Montenegro","montenegro","6.41","2022",49,"Europe"
"Mauritania","mauritania","6.38","2022",50,"Africa"
"Grenada","grenada","6.36","2022",51,"Central America and the Caribbean"
"Croatia","croatia","6.35","2022",52,"Europe"
"Kyrgyzstan","kyrgyzstan","6.33","2022",53,"Central Asia"
"Benin","benin","6.25","2022",54,"Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","6.2","2022",55,"Central America and the Caribbean"
"Togo","togo","5.81","2022",56,"Africa"
"Botswana","botswana","5.79","2022",57,"Africa"
"Spain","spain","5.77","2022",58,"Europe"
"Uzbekistan","uzbekistan","5.67","2022",59,"Central Asia"
"Dominica","dominica","5.65","2022",60,"Central America and the Caribbean"
"Nepal","nepal","5.61","2022",61,"South Asia"
"Greece","greece","5.56","2022",62,"Europe"
"Turkey (Turkiye)","turkey-turkiye","5.53","2022",63,"Middle East"
"Faroe Islands","faroe-islands","5.4","2022",64,"Europe"
"Ethiopia","ethiopia","5.32","2022",65,"Africa"
"Indonesia","indonesia","5.31","2022",66,"East and Southeast Asia"
"Poland","poland","5.26","2022",67,"Europe"
"Zambia","zambia","5.25","2022",68,"Africa"
"Cambodia","cambodia","5.24","2022",69,"East and Southeast Asia"
"Jamaica","jamaica","5.22","2022",70,"Central America and the Caribbean"
"Kosovo","kosovo","5.22","2022",71,"Europe"
"Papua New Guinea","papua-new-guinea","5.17","2022",72,"East and Southeast Asia"
"Cyprus","cyprus","5.06","2022",73,"Europe"
"Mongolia","mongolia","5.03","2022",74,"East and Southeast Asia"
"Eritrea","eritrea","5","2017",75,"Africa"
"Argentina","argentina","4.96","2022",76,"South America"
"Uruguay","uruguay","4.92","2022",77,"South America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","4.91","2022",78,"Central America and the Caribbean"
"Saint Martin","saint-martin","4.9","2021",79,"Central America and the Caribbean"
"Dominican Republic","dominican-republic","4.86","2022",80,"Central America and the Caribbean"
"Albania","albania","4.86","2022",81,"Europe"
"Bahrain","bahrain","4.86","2022",82,"Middle East"
"Kenya","kenya","4.85","2022",83,"Africa"
"Austria","austria","4.81","2022",84,"Europe"
"Liberia","liberia","4.81","2022",85,"Africa"
"Pakistan","pakistan","4.71","2022",86,"South Asia"
"Guinea","guinea","4.7","2022",87,"Africa"
"Azerbaijan","azerbaijan","4.62","2022",88,"Middle East"
"Romania","romania","4.6","2022",89,"Europe"
"Uganda","uganda","4.59","2022",90,"Africa"
"Tanzania","tanzania","4.56","2022",91,"Africa"
"Hungary","hungary","4.55","2022",92,"Europe"
"Costa Rica","costa-rica","4.55","2022",93,"Central America and the Caribbean"
"French Polynesia","french-polynesia","4.47","2022",94,"Australia and Oceania"
"Bhutan","bhutan","4.42","2021",95,"South Asia"
"Mozambique","mozambique","4.36","2022",96,"Africa"
"United Kingdom","united-kingdom","4.35","2022",97,"Europe"
"Netherlands","netherlands","4.33","2022",98,"Europe"
"Gambia, The","gambia-the","4.33","2022",99,"Africa"
"Oman","oman","4.31","2022",100,"Middle East"
"Australia","australia","4.27","2022",101,"Australia and Oceania"
"Qatar","qatar","4.21","2022",102,"Middle East"
"Senegal","senegal","4.15","2022",103,"Africa"
"Guatemala","guatemala","4.12","2022",104,"Central America and the Caribbean"
"Bosnia and Herzegovina","bosnia-and-herzegovina","4.11","2022",105,"Europe"
