name,slug,value,date_of_information,ranking,region
"China","china","$3,223,000,000,000","31 December 2019",1,"East and Southeast Asia"
"Japan","japan","$1,322,000,000,000","31 December 2019",2,"East and Southeast Asia"
"Switzerland","switzerland","$854,929,000,000","31 December 2019",3,"Europe"
"Russia","russia","$555,179,000,000","31 December 2019",4,"Central Asia"
"United States","united-states","$516,701,000,000","31 December 2019",5,"North America"
"Saudi Arabia","saudi-arabia","$514,963,000,000","31 December 2019",6,"Middle East"
"India","india","$463,470,000,000","31 December 2019",7,"South Asia"
"Taiwan","taiwan","$456,700,000,000","31 December 2017",8,"East and Southeast Asia"
"Hong Kong","hong-kong","$441,350,000,000","31 December 2019",9,"East and Southeast Asia"
"Korea, South","korea-south","$408,819,000,000","31 December 2019",10,"East and Southeast Asia"
"Brazil","brazil","$356,886,000,000","31 December 2019",11,"South America"
"Singapore","singapore","$285,478,000,000","31 December 2019",12,"East and Southeast Asia"
"Thailand","thailand","$224,356,000,000","31 December 2019",13,"East and Southeast Asia"
"Germany","germany","$224,028,000,000","31 December 2019",14,"Europe"
"France","france","$189,006,000,000","31 December 2019",15,"Europe"
"Mexico","mexico","$183,056,000,000","31 December 2019",16,"North America"
"Italy","italy","$175,398,000,000","31 December 2019",17,"Europe"
"United Kingdom","united-kingdom","$173,569,000,000","31 December 2019",18,"Europe"
"Czechia","czechia","$149,856,000,000","31 December 2019",19,"Europe"
"Indonesia","indonesia","$129,186,000,000","31 December 2019",20,"East and Southeast Asia"
"Poland","poland","$128,392,000,000","31 December 2019",21,"Europe"
"Israel","israel","$126,008,000,000","31 December 2019",22,"Middle East"
"Iran","iran","$120,600,000,000","31 December 2017",23,"Middle East"
"United Arab Emirates","united-arab-emirates","$108,359,000,000","31 December 2019",24,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","$105,620,000,000","31 December 2019",25,"Middle East"
"Malaysia","malaysia","$103,630,000,000","31 December 2019",26,"East and Southeast Asia"
"Philippines","philippines","$89,515,000,000","31 December 2019",27,"East and Southeast Asia"
"Canada","canada","$85,297,000,000","31 December 2019",28,"North America"
"Libya","libya","$84,664,000,000","31 December 2019",29,"Africa"
"Vietnam","vietnam","$78,335,000,000","31 December 2019",30,"East and Southeast Asia"
"Peru","peru","$74,779,000,000","2020",31,"South America"
"Spain","spain","$74,731,000,000","31 December 2019",32,"Europe"
"Algeria","algeria","$71,796,000,000","31 December 2019",33,"Africa"
"Iraq","iraq","$68,018,000,000","31 December 2019",34,"Middle East"
"Norway","norway","$66,946,000,000","31 December 2019",35,"Europe"
"Denmark","denmark","$66,836,000,000","31 December 2019",36,"Europe"
