name,slug,% of GDP,date_of_information,ranking,region
"Mongolia","mongolia","8.62","2018",1,"East and Southeast Asia"
"Mozambique","mozambique","4.17","2018",2,"Africa"
"South Africa","south-africa","2.4","2018",3,"Africa"
"India","india","1.15","2018",4,"South Asia"
"Indonesia","indonesia","1.06","2018",5,"East and Southeast Asia"
"Kazakhstan","kazakhstan","0.99","2018",6,"Central Asia"
"Australia","australia","0.78","2018",7,"Australia and Oceania"
"Colombia","colombia","0.75","2018",8,"South America"
"China","china","0.57","2018",9,"East and Southeast Asia"
"Tajikistan","tajikistan","0.54","2018",10,"Central Asia"
"Russia","russia","0.53","2018",11,"Central Asia"
"Afghanistan","afghanistan","0.45","2018",12,"South Asia"
"Botswana","botswana","0.45","2018",13,"Africa"
"Ukraine","ukraine","0.42","2018",14,"Europe"
"Zimbabwe","zimbabwe","0.4","2018",15,"Africa"
"Vietnam","vietnam","0.35","2018",16,"East and Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0.34","2018",17,"Europe"
"Kosovo","kosovo","0.31","2018",18,"Europe"
"Poland","poland","0.27","2018",19,"Europe"
"Serbia","serbia","0.25","2018",20,"Europe"
"Kyrgyzstan","kyrgyzstan","0.21","2018",21,"Central Asia"
"United States","united-states","0.2","2018",22,"North America"
"Czechia","czechia","0.14","2018",23,"Europe"
"Bulgaria","bulgaria","0.14","2018",24,"Europe"
"Montenegro","montenegro","0.12","2018",25,"Europe"
"Eswatini","eswatini","0.1","2018",26,"Africa"
"Canada","canada","0.08","2018",27,"North America"
"Philippines","philippines","0.07","2018",28,"East and Southeast Asia"
"Pakistan","pakistan","0.06","2018",29,"South Asia"
"Uzbekistan","uzbekistan","0.06","2018",30,"Central Asia"
"Turkey (Turkiye)","turkey-turkiye","0.05","2018",31,"Middle East"
"Greece","greece","0.04","2018",32,"Europe"
"Zambia","zambia","0.04","2018",33,"Africa"
"Niger","niger","0.03","2018",34,"Africa"
"Thailand","thailand","0.03","2018",35,"East and Southeast Asia"
"Mexico","mexico","0.03","2018",36,"North America"
