name,slug,% (of GDP),date_of_information,ranking,region
"Tuvalu","tuvalu","106.7","2013",1,"Australia and Oceania"
"Greenland","greenland","77.4","2016",2,"North America"
"Andorra","andorra","69","2016",3,"Europe"
"Cuba","cuba","58.1","2017",4,"Central America and the Caribbean"
"Libya","libya","51.6","2017",5,"Africa"
"Anguilla","anguilla","46.7","2017",6,"Central America and the Caribbean"
"Nauru","nauru","44.35","2020",7,"Australia and Oceania"
"Venezuela","venezuela","44.2","2017",8,"South America"
"Kuwait","kuwait","41.8","2017",9,"Middle East"
"Dominica","dominica","40.9","2017",10,"Central America and the Caribbean"
"Bolivia","bolivia","39.9","2017",11,"South America"
"Tonga","tonga","39.8","2017",12,"Australia and Oceania"
"French Polynesia","french-polynesia","39.4","2012",13,"Australia and Oceania"
"Cayman Islands","cayman-islands","38.9","2017",14,"Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","38.9","2017",15,"Central America and the Caribbean"
"American Samoa","american-samoa","37.8","2016",16,"Australia and Oceania"
"Montenegro","montenegro","37.2","2017",17,"Europe"
"Djibouti","djibouti","35.3","2017",18,"Africa"
"Japan","japan","35.2","2017",19,"East and Southeast Asia"
"Eritrea","eritrea","34.9","2017",20,"Africa"
"Denmark","denmark","34.81","2021",21,"Europe"
"Algeria","algeria","32.3","2017",22,"Africa"
"Lesotho","lesotho","32.05","2022",23,"Africa"
"Northern Mariana Islands","northern-mariana-islands","31.4","2016",24,"Australia and Oceania"
"Oman","oman","31.3","2017",25,"Middle East"
"Seychelles","seychelles","30.58","2020",26,"Africa"
"Faroe Islands","faroe-islands","30.2","2014",27,"Europe"
"New Zealand","new-zealand","29.77","2022",28,"Australia and Oceania"
"Kosovo","kosovo","29","2017",29,"Europe"
"Virgin Islands","virgin-islands","28.9","2016",30,"Central America and the Caribbean"
"Eswatini","eswatini","28.6","2017",31,"Africa"
"Guyana","guyana","28.1","2017",32,"South America"
"Namibia","namibia","27.97","2021",33,"Africa"
"Barbados","barbados","27.42","2016",34,"Central America and the Caribbean"
"Mauritania","mauritania","27.4","2017",35,"Africa"
"Kiribati","kiribati","27.38","2021",36,"Australia and Oceania"
"Sweden","sweden","27.21","2021",37,"Europe"
"Maldives","maldives","26.4","2016",38,"South Asia"
"Qatar","qatar","26.4","2017",39,"Middle East"
"United Kingdom","united-kingdom","26.22","2021",40,"Europe"
"Sao Tome and Principe","sao-tome-and-principe","26.2","2017",41,"Africa"
"Luxembourg","luxembourg","26.11","2021",42,"Europe"
"South Africa","south-africa","25.85","2021",43,"Africa"
"Austria","austria","25.84","2021",44,"Europe"
"Grenada","grenada","25.8","2017",45,"Central America and the Caribbean"
"Jamaica","jamaica","25.71","2020",46,"Central America and the Caribbean"
"Greece","greece","25.37","2021",47,"Europe"
"Comoros","comoros","25.3","2017",48,"Africa"
"Aruba","aruba","25.2","2017",49,"Central America and the Caribbean"
"Norway","norway","25.08","2021",50,"Europe"
"Samoa","samoa","25.02","2021",51,"Australia and Oceania"
"Italy","italy","24.93","2021",52,"Europe"
"Vietnam","vietnam","24.8","2017",53,"East and Southeast Asia"
"Tunisia","tunisia","24.7","2017",54,"Africa"
"Israel","israel","24.62","2021",55,"Middle East"
"Netherlands","netherlands","24.35","2021",56,"Europe"
"France","france","23.96","2021",57,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","23.8","2017",58,"Central America and the Caribbean"
"Malta","malta","23.77","2021",59,"Europe"
"Australia","australia","23.6","2022",60,"Australia and Oceania"
"Cyprus","cyprus","23.23","2021",61,"Europe"
"Hong Kong","hong-kong","23.2","2017",62,"East and Southeast Asia"
"Belgium","belgium","23.1","2021",63,"Europe"
"Georgia","georgia","23.09","2022",64,"Middle East"
"Iceland","iceland","23.03","2022",65,"Europe"
"Mozambique","mozambique","22.75","2021",66,"Africa"
"Botswana","botswana","22.25","2021",67,"Africa"
"Morocco","morocco","22.12","2022",68,"Africa"
"Portugal","portugal","22.01","2021",69,"Europe"
"Armenia","armenia","22","2021",70,"Middle East"
"Latvia","latvia","21.92","2021",71,"Europe"
"Hungary","hungary","21.49","2021",72,"Europe"
"Gaza Strip","gaza-strip","21.47","2021",73,"Middle East"
"West Bank","west-bank","21.47","2021",74,"Middle East"
"Estonia","estonia","21.42","2021",75,"Europe"
"Niger","niger","21.4","2017",76,"Africa"
"Guam","guam","21.4","2016",77,"Australia and Oceania"
"Belize","belize","21.34","2017",78,"Central America and the Caribbean"
"Lithuania","lithuania","21.27","2021",79,"Europe"
"Solomon Islands","solomon-islands","20.67","2021",80,"Australia and Oceania"
"Finland","finland","20.65","2021",81,"Europe"
"Bulgaria","bulgaria","20.63","2021",82,"Europe"
"Serbia","serbia","20.61","2021",83,"Europe"
"New Caledonia","new-caledonia","20.4","2015",84,"Australia and Oceania"
"Gambia, The","gambia-the","20.3","2017",85,"Africa"
"Croatia","croatia","20.13","2021",86,"Europe"
"Nicaragua","nicaragua","19.81","2022",87,"Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","19.6","2017",88,"Central America and the Caribbean"
"Chile","chile","19.6","2021",89,"South America"
"El Salvador","el-salvador","19.42","2021",90,"Central America and the Caribbean"
"Macau","macau","19.31","2021",91,"East and Southeast Asia"
"Slovakia","slovakia","19.3","2021",92,"Europe"
"Poland","poland","19.15","2021",93,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","19.14","2022",94,"Europe"
"Mauritius","mauritius","19.02","2022",95,"Africa"
"Moldova","moldova","18.94","2022",96,"Europe"
"Senegal","senegal","18.66","2022",97,"Africa"
"Uruguay","uruguay","18.52","2020",98,"South America"
"Brunei","brunei","18.5","2017",99,"East and Southeast Asia"
"Laos","laos","18.3","2017",100,"East and Southeast Asia"
"Slovenia","slovenia","18.27","2021",101,"Europe"
"Saint Lucia","saint-lucia","18.24","2017",102,"Central America and the Caribbean"
"Haiti","haiti","18.2","2017",103,"Central America and the Caribbean"
"Albania","albania","18.2","2021",104,"Europe"
"Palau","palau","18.16","2020",105,"Australia and Oceania"
"Cabo Verde","cabo-verde","17.8","2017",106,"Africa"
"Nepal","nepal","17.49","2021",107,"South Asia"
"North Macedonia","north-macedonia","17.39","2021",108,"Europe"
"San Marino","san-marino","17.3","2021",109,"Europe"
"Iran","iran","17.3","2017",110,"Middle East"
"Marshall Islands","marshall-islands","17.23","2020",111,"Australia and Oceania"
"Ireland","ireland","17.16","2021",112,"Europe"
"Benin","benin","17.1","2017",113,"Africa"
"Mongolia","mongolia","16.91","2021",114,"East and Southeast Asia"
"Ukraine","ukraine","16.85","2022",115,"Europe"
"Zambia","zambia","16.78","2021",116,"Africa"
"Korea, South","korea-south","16.73","2021",117,"East and Southeast Asia"
"Bahamas, The","bahamas-the","16.73","2022",118,"Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","16.7","2015",119,"Australia and Oceania"
"Curacao","curacao","16.6","2012",120,"Central America and the Caribbean"
