name,slug,%,date_of_information,ranking,region
"Nauru","nauru","48.5","2020",1,"Australia and Oceania"
"Burma","burma","44.1","2020",2,"East and Southeast Asia"
"Kiribati","kiribati","40.6","2020",3,"Australia and Oceania"
"Serbia","serbia","39.8","2020",4,"Europe"
"Papua New Guinea","papua-new-guinea","39.3","2020",5,"East and Southeast Asia"
"Timor-Leste","timor-leste","39.2","2020",6,"East and Southeast Asia"
"Bulgaria","bulgaria","39","2020",7,"Europe"
"Lebanon","lebanon","38.2","2020",8,"Middle East"
"Indonesia","indonesia","37.6","2020",9,"East and Southeast Asia"
"Latvia","latvia","37","2020",10,"Europe"
"Croatia","croatia","36.9","2020",11,"Europe"
"Solomon Islands","solomon-islands","36.5","2020",12,"Australia and Oceania"
"Tuvalu","tuvalu","35.6","2020",13,"Australia and Oceania"
"Cyprus","cyprus","35.1","2020",14,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","35","2020",15,"Europe"
"Jordan","jordan","34.8","2020",16,"Middle East"
"Bangladesh","bangladesh","34.7","2020",17,"South Asia"
"Greece","greece","33.5","2020",18,"Europe"
"France","france","33.4","2020",19,"Europe"
"Lithuania","lithuania","32","2020",20,"Europe"
"Laos","laos","31.8","2020",21,"East and Southeast Asia"
"Hungary","hungary","31.8","2020",22,"Europe"
"Andorra","andorra","31.8","2020",23,"Europe"
"Georgia","georgia","31.7","2020",24,"Middle East"
"Slovakia","slovakia","31.5","2020",25,"Europe"
"Montenegro","montenegro","31.4","2020",26,"Europe"
"Tonga","tonga","31","2020",27,"Australia and Oceania"
"Turkey (Turkiye)","turkey-turkiye","30.7","2020",28,"Middle East"
"Czechia","czechia","30.7","2020",29,"Europe"
"Belarus","belarus","30.5","2020",30,"Europe"
"Nepal","nepal","30.4","2020",31,"South Asia"
"Estonia","estonia","29.7","2020",32,"Europe"
"Mongolia","mongolia","29.4","2020",33,"East and Southeast Asia"
"Chile","chile","29.2","2020",34,"South America"
"Moldova","moldova","29","2020",35,"Europe"
"Marshall Islands","marshall-islands","28.5","2020",36,"Australia and Oceania"
"Romania","romania","28","2020",37,"Europe"
"Madagascar","madagascar","27.8","2020",38,"Africa"
"Spain","spain","27.7","2020",39,"Europe"
"India","india","27.2","2020",40,"South Asia"
"Russia","russia","26.8","2020",41,"Central Asia"
"Austria","austria","26.4","2020",42,"Europe"
"Ukraine","ukraine","25.8","2020",43,"Europe"
"China","china","25.6","2020",44,"East and Southeast Asia"
"Armenia","armenia","25.5","2020",45,"Middle East"
"Switzerland","switzerland","25.5","2020",46,"Europe"
"Portugal","portugal","25.4","2020",47,"Europe"
"Kyrgyzstan","kyrgyzstan","25.4","2020",48,"Central Asia"
"Samoa","samoa","25.3","2020",49,"Australia and Oceania"
"Maldives","maldives","25.2","2020",50,"South Asia"
"Vietnam","vietnam","24.8","2020",51,"East and Southeast Asia"
"Tunisia","tunisia","24.6","2020",52,"Africa"
"Argentina","argentina","24.5","2020",53,"South America"
"Egypt","egypt","24.3","2020",54,"Africa"
"Lesotho","lesotho","24.3","2020",55,"Africa"
"Malta","malta","24","2020",56,"Europe"
"Sweden","sweden","24","2020",57,"Europe"
"Azerbaijan","azerbaijan","24","2020",58,"Middle East"
"Poland","poland","24","2020",59,"Europe"
"Cook Islands","cook-islands","24","2020",60,"Australia and Oceania"
"Belgium","belgium","23.4","2020",61,"Europe"
"Afghanistan","afghanistan","23.3","2020",62,"South Asia"
"Kazakhstan","kazakhstan","23.2","2020",63,"Central Asia"
"Italy","italy","23.1","2020",64,"Europe"
"Fiji","fiji","23.1","2020",65,"Australia and Oceania"
"United States","united-states","23","2020",66,"North America"
"Philippines","philippines","22.9","2020",67,"East and Southeast Asia"
"Malaysia","malaysia","22.5","2020",68,"East and Southeast Asia"
"Albania","albania","22.4","2020",69,"Europe"
"Netherlands","netherlands","22.2","2020",70,"Europe"
"Thailand","thailand","22.1","2020",71,"East and Southeast Asia"
"Sri Lanka","sri-lanka","22","2020",72,"South Asia"
"Slovenia","slovenia","22","2020",73,"Europe"
"Germany","germany","22","2020",74,"Europe"
"Finland","finland","21.6","2020",75,"Europe"
"Uruguay","uruguay","21.5","2020",76,"South America"
"Israel","israel","21.2","2020",77,"Middle East"
"Luxembourg","luxembourg","21.1","2020",78,"Europe"
"Cambodia","cambodia","21.1","2020",79,"East and Southeast Asia"
"Algeria","algeria","21","2020",80,"Africa"
"Ireland","ireland","20.8","2020",81,"Europe"
"Korea, South","korea-south","20.8","2020",82,"East and Southeast Asia"
"Comoros","comoros","20.3","2020",83,"Africa"
"South Africa","south-africa","20.3","2020",84,"Africa"
"Yemen","yemen","20.3","2020",85,"Middle East"
"Pakistan","pakistan","20.2","2020",86,"South Asia"
"Seychelles","seychelles","20.2","2020",87,"Africa"
"Mauritius","mauritius","20.2","2020",88,"Africa"
"Japan","japan","20.1","2020",89,"East and Southeast Asia"
"Botswana","botswana","19.4","2020",90,"Africa"
"Iraq","iraq","18.5","2020",91,"Middle East"
"Cuba","cuba","17.9","2020",92,"Central America and the Caribbean"
"Kuwait","kuwait","17.9","2020",93,"Middle East"
"Vanuatu","vanuatu","17.8","2020",94,"Australia and Oceania"
"Palau","palau","17.6","2020",95,"Australia and Oceania"
"Uzbekistan","uzbekistan","17.6","2020",96,"Central Asia"
"Denmark","denmark","17.5","2020",97,"Europe"
"Korea, North","korea-north","17.4","2020",98,"East and Southeast Asia"
"Singapore","singapore","16.5","2020",99,"East and Southeast Asia"
"Brunei","brunei","16.2","2020",100,"East and Southeast Asia"
"Norway","norway","16.2","2020",101,"Europe"
"United Kingdom","united-kingdom","15.4","2020",102,"Europe"
"Namibia","namibia","15.1","2020",103,"Africa"
"Bahrain","bahrain","14.9","2020",104,"Middle East"
"Congo, Republic of the","congo-republic-of-the","14.5","2020",105,"Africa"
"Morocco","morocco","14.5","2020",106,"Africa"
"Zambia","zambia","14.4","2020",107,"Africa"
"Burkina Faso","burkina-faso","14.3","2020",108,"Africa"
"Mozambique","mozambique","14.3","2020",109,"Africa"
"Saudi Arabia","saudi-arabia","14.3","2020",110,"Middle East"
"New Zealand","new-zealand","13.7","2020",111,"Australia and Oceania"
"Rwanda","rwanda","13.7","2020",112,"Africa"
"Iran","iran","13.6","2020",113,"Middle East"
"Australia","australia","13.6","2020",114,"Australia and Oceania"
"Sierra Leone","sierra-leone","13.5","2020",115,"Africa"
"Mexico","mexico","13.1","2020",116,"North America"
"Canada","canada","13","2020",117,"North America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","12.8","2020",118,"Africa"
"Brazil","brazil","12.8","2020",119,"South America"
"Bolivia","bolivia","12.7","2020",120,"South America"
"Guyana","guyana","12.1","2020",121,"South America"
"Iceland","iceland","12","2020",122,"Europe"
"Burundi","burundi","11.8","2020",123,"Africa"
"Qatar","qatar","11.8","2020",124,"Middle East"
"Zimbabwe","zimbabwe","11.7","2020",125,"Africa"
"Paraguay","paraguay","11.5","2020",126,"South America"
"Cabo Verde","cabo-verde","11.4","2020",127,"Africa"
"Ecuador","ecuador","11.3","2020",128,"South America"
"Kenya","kenya","11.1","2020",129,"Africa"
"Gambia, The","gambia-the","11.1","2020",130,"Africa"
"Guatemala","guatemala","10.9","2020",131,"Central America and the Caribbean"
"Malawi","malawi","10.8","2020",132,"Africa"
"Mauritania","mauritania","10.7","2020",133,"Africa"
"Bahamas, The","bahamas-the","10.6","2020",134,"Central America and the Caribbean"
"Dominican Republic","dominican-republic","10.6","2020",135,"Central America and the Caribbean"
"Cote d'Ivoire","cote-divoire","9.4","2020",136,"Africa"
"Jamaica","jamaica","9.4","2020",137,"Central America and the Caribbean"
"Eswatini","eswatini","9.2","2020",138,"Africa"
"Guinea-Bissau","guinea-bissau","9","2020",139,"Africa"
"Costa Rica","costa-rica","8.8","2020",140,"Central America and the Caribbean"
"Tanzania","tanzania","8.7","2020",141,"Africa"
"Belize","belize","8.5","2020",142,"Central America and the Caribbean"
"Colombia","colombia","8.5","2020",143,"South America"
"Barbados","barbados","8.5","2020",144,"Central America and the Caribbean"
"Uganda","uganda","8.4","2020",145,"Africa"
"Mali","mali","8.3","2020",146,"Africa"
"Chad","chad","8.3","2020",147,"Africa"
"Liberia","liberia","8.2","2020",148,"Africa"
"Peru","peru","8.1","2020",149,"South America"
"Oman","oman","8","2020",150,"Middle East"
"El Salvador","el-salvador","7.9","2020",151,"Central America and the Caribbean"
"Haiti","haiti","7.7","2020",152,"Central America and the Caribbean"
"Eritrea","eritrea","7.5","2020",153,"Africa"
"Niger","niger","7.4","2020",154,"Africa"
"Cameroon","cameroon","7.3","2020",155,"Africa"
"Senegal","senegal","6.9","2020",156,"Africa"
"Benin","benin","6.9","2020",157,"Africa"
"Togo","togo","6.8","2020",158,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","5.7","2020",159,"Africa"
"Turkmenistan","turkmenistan","5.5","2020",160,"Central Asia"
"Ethiopia","ethiopia","5.1","2020",161,"Africa"
"Panama","panama","5","2020",162,"Central America and the Caribbean"
"Nigeria","nigeria","3.7","2020",163,"Africa"
"Ghana","ghana","3.5","2020",164,"Africa"
