name,slug,%,date_of_information,ranking,region
"Cocos (Keeling) Islands","cocos-keeling-islands","0.1","2011",1,"Australia and Oceania"
"Qatar","qatar","0.13","2022",2,"Middle East"
"Cambodia","cambodia","0.23","2022",3,"East and Southeast Asia"
"Niger","niger","0.57","2022",4,"Africa"
"Burundi","burundi","0.91","2022",5,"Africa"
"Moldova","moldova","0.91","2022",6,"Europe"
"Thailand","thailand","0.94","2022",7,"East and Southeast Asia"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1","2016",8,"South America"
"Gibraltar","gibraltar","1","2016",9,"Europe"
"Chad","chad","1.1","2022",10,"Africa"
"Cuba","cuba","1.25","2022",11,"Central America and the Caribbean"
"Bahrain","bahrain","1.34","2022",12,"Middle East"
"Benin","benin","1.48","2022",13,"Africa"
"Oman","oman","1.53","2022",14,"Middle East"
"Vietnam","vietnam","1.54","2022",15,"East and Southeast Asia"
"Solomon Islands","solomon-islands","1.61","2022",16,"Australia and Oceania"
"Palau","palau","1.7","2015",17,"Australia and Oceania"
"Timor-Leste","timor-leste","1.79","2022",18,"East and Southeast Asia"
"Madagascar","madagascar","1.9","2022",19,"Africa"
"Isle of Man","isle-of-man","2","April 2011",20,"Europe"
"Tokelau","tokelau","2","2015",21,"Australia and Oceania"
"Monaco","monaco","2","2012",22,"Europe"
"Faroe Islands","faroe-islands","2.2","2017",23,"Europe"
"Kuwait","kuwait","2.2","2022",24,"Middle East"
"Czechia","czechia","2.22","2022",25,"Europe"
"Philippines","philippines","2.38","2022",26,"East and Southeast Asia"
"Liechtenstein","liechtenstein","2.4","2015",27,"Europe"
"Macau","macau","2.41","2022",28,"East and Southeast Asia"
"Tonga","tonga","2.43","2022",29,"Australia and Oceania"
"Cote d'Ivoire","cote-divoire","2.49","2022",30,"Africa"
"Tanzania","tanzania","2.6","2022",31,"Africa"
"Japan","japan","2.6","2022",32,"East and Southeast Asia"
"Papua New Guinea","papua-new-guinea","2.78","2022",33,"East and Southeast Asia"
"Korea, South","korea-south","2.86","2022",34,"East and Southeast Asia"
"Poland","poland","2.89","2022",35,"Europe"
"British Virgin Islands","british-virgin-islands","2.9","2015",36,"Central America and the Caribbean"
"Malta","malta","2.92","2022",37,"Europe"
"Uganda","uganda","2.94","2022",38,"Africa"
"Burma","burma","2.96","2022",39,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","2.97","2022",40,"Middle East"
"Seychelles","seychelles","3","2017",41,"Africa"
"El Salvador","el-salvador","3","2022",42,"Central America and the Caribbean"
"Senegal","senegal","3.01","2022",43,"Africa"
"Liberia","liberia","3.03","2022",44,"Africa"
"Guatemala","guatemala","3.05","2022",45,"Central America and the Caribbean"
"Korea, North","korea-north","3.07","2022",46,"East and Southeast Asia"
"Mali","mali","3.14","2022",47,"Africa"
"Germany","germany","3.14","2022",48,"Europe"
"Norway","norway","3.23","2022",49,"Europe"
"Guinea-Bissau","guinea-bissau","3.24","2022",50,"Africa"
"Mexico","mexico","3.26","2022",51,"North America"
"Sierra Leone","sierra-leone","3.27","2022",52,"Africa"
"New Zealand","new-zealand","3.3","2022",53,"Australia and Oceania"
"Ethiopia","ethiopia","3.42","2022",54,"Africa"
"Indonesia","indonesia","3.46","2022",55,"East and Southeast Asia"
"Ghana","ghana","3.52","2022",56,"Africa"
"Netherlands","netherlands","3.52","2022",57,"Europe"
"Bolivia","bolivia","3.55","2022",58,"South America"
"Belarus","belarus","3.57","2022",59,"Europe"
"Singapore","singapore","3.59","2022",60,"East and Southeast Asia"
"Hungary","hungary","3.61","2022",61,"Europe"
"Malaysia","malaysia","3.63","2022",62,"East and Southeast Asia"
"United States","united-states","3.65","2022",63,"North America"
"Andorra","andorra","3.7","2016",64,"Europe"
"Israel","israel","3.7","2022",65,"Middle East"
"Australia","australia","3.7","2022",66,"Australia and Oceania"
"Taiwan","taiwan","3.73","2019",67,"East and Southeast Asia"
"United Kingdom","united-kingdom","3.73","2022",68,"Europe"
"Ecuador","ecuador","3.76","2022",69,"South America"
"Cameroon","cameroon","3.78","2022",70,"Africa"
"Iceland","iceland","3.79","2022",71,"Europe"
"Mozambique","mozambique","3.79","2022",72,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","3.81","2022",73,"Central America and the Caribbean"
"Laos","laos","3.82","2022",74,"East and Southeast Asia"
"Nigeria","nigeria","3.83","2022",75,"Africa"
"Peru","peru","3.85","2022",76,"South America"
"Togo","togo","3.85","2022",77,"Africa"
"Russia","russia","3.87","2022",78,"Central Asia"
"Cayman Islands","cayman-islands","4","2008",79,"Central America and the Caribbean"
"Slovenia","slovenia","4.01","2022",80,"Europe"
"Kyrgyzstan","kyrgyzstan","4.02","2022",81,"Central Asia"
"Turkmenistan","turkmenistan","4.13","2022",82,"Central Asia"
"Bangladesh","bangladesh","4.27","2022",83,"South Asia"
"Bulgaria","bulgaria","4.27","2022",84,"Europe"
"Gambia, The","gambia-the","4.27","2022",85,"Africa"
"Switzerland","switzerland","4.3","2022",86,"Europe"
"Hong Kong","hong-kong","4.32","2022",87,"East and Southeast Asia"
"Zambia","zambia","4.37","2022",88,"Africa"
"Maldives","maldives","4.39","2022",89,"South Asia"
"Denmark","denmark","4.43","2022",90,"Europe"
"Brunei","brunei","4.45","2022",91,"East and Southeast Asia"
"Ireland","ireland","4.48","2022",92,"Europe"
"Uzbekistan","uzbekistan","4.51","2022",93,"Central Asia"
"Fiji","fiji","4.56","2022",94,"Australia and Oceania"
"Luxembourg","luxembourg","4.58","2022",95,"Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","4.69","2022",96,"Africa"
"India","india","4.82","2022",97,"South Asia"
"Kazakhstan","kazakhstan","4.86","2022",98,"Central Asia"
"China","china","4.98","2022",99,"East and Southeast Asia"
"Nicaragua","nicaragua","4.99","2022",100,"Central America and the Caribbean"
"Austria","austria","4.99","2022",101,"Europe"
"Burkina Faso","burkina-faso","5.07","2022",102,"Africa"
"Malawi","malawi","5.11","2022",103,"Africa"
"Vanuatu","vanuatu","5.22","2022",104,"Australia and Oceania"
"Canada","canada","5.28","2022",105,"North America"
"Dominican Republic","dominican-republic","5.5","2022",106,"Central America and the Caribbean"
"Jamaica","jamaica","5.5","2022",107,"Central America and the Caribbean"
"Guinea","guinea","5.53","2022",108,"Africa"
"Belgium","belgium","5.56","2022",109,"Europe"
"Guam","guam","5.57","2022",110,"Australia and Oceania"
"Estonia","estonia","5.57","2022",111,"Europe"
"Saudi Arabia","saudi-arabia","5.59","2022",112,"Middle East"
"Montserrat","montserrat","5.6","2017",113,"Central America and the Caribbean"
"Pakistan","pakistan","5.6","2022",114,"South Asia"
"Romania","romania","5.61","2022",115,"Europe"
"Venezuela","venezuela","5.62","2022",116,"South America"
"Kenya","kenya","5.64","2022",117,"Africa"
"Azerbaijan","azerbaijan","5.65","2022",118,"Middle East"
"Comoros","comoros","5.75","2022",119,"Africa"
"Bhutan","bhutan","5.95","2022",120,"South Asia"
"Lithuania","lithuania","5.96","2022",121,"Europe"
"Eritrea","eritrea","5.97","2022",122,"Africa"
"Puerto Rico","puerto-rico","6","2022",123,"Central America and the Caribbean"
"Portugal","portugal","6.01","2022",124,"Europe"
