name,slug,%,date_of_information,ranking,region
"Djibouti","djibouti","79.9","2021",1,"Africa"
"South Africa","south-africa","64.2","2021",2,"Africa"
"Eswatini","eswatini","50.9","2021",3,"Africa"
"Libya","libya","50.5","2021",4,"Africa"
"Kosovo","kosovo","48.8","2020",5,"Europe"
"Costa Rica","costa-rica","45.4","2021",6,"Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","42.3","2021",7,"Africa"
"Curacao","curacao","42.2","2020",8,"Central America and the Caribbean"
"Botswana","botswana","41.2","2021",9,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","41.1","2021",10,"Central America and the Caribbean"
"New Caledonia","new-caledonia","41","2021",11,"Australia and Oceania"
"Jordan","jordan","40.5","2021",12,"Middle East"
"Namibia","namibia","40.4","2021",13,"Africa"
"West Bank","west-bank","39.6","2021",14,"Middle East"
"Gaza Strip","gaza-strip","39.6","2021",15,"Middle East"
"French Polynesia","french-polynesia","38.9","2021",16,"Australia and Oceania"
"Saint Lucia","saint-lucia","38.7","2021",17,"Central America and the Caribbean"
"Gabon","gabon","38.4","2021",18,"Africa"
"Tunisia","tunisia","38.3","2021",19,"Africa"
"Lesotho","lesotho","37.4","2021",20,"Africa"
"Greece","greece","36.9","2021",21,"Europe"
"Spain","spain","36.9","2021",22,"Europe"
"Armenia","armenia","36.1","2021",23,"Middle East"
"Haiti","haiti","35.7","2021",24,"Central America and the Caribbean"
"Sudan","sudan","35.6","2021",25,"Africa"
"Somalia","somalia","34.7","2021",26,"Africa"
"Cabo Verde","cabo-verde","34.3","2021",27,"Africa"
"North Macedonia","north-macedonia","34.1","2021",28,"Europe"
"Uruguay","uruguay","32.9","2021",29,"South America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","32.9","2021",30,"Europe"
"Algeria","algeria","31.9","2021",31,"Africa"
"Brazil","brazil","31.9","2021",32,"South America"
"Montenegro","montenegro","31.6","2021",33,"Europe"
"Italy","italy","30.9","2021",34,"Europe"
"Bahamas, The","bahamas-the","30.8","2021",35,"Central America and the Caribbean"
"Barbados","barbados","30.6","2021",36,"Central America and the Caribbean"
"Suriname","suriname","30.5","2021",37,"South America"
"Serbia","serbia","30.4","2021",38,"Europe"
"Panama","panama","30","2021",39,"Central America and the Caribbean"
"Guyana","guyana","29.9","2021",40,"South America"
"Argentina","argentina","29.9","2021",41,"South America"
"Lebanon","lebanon","29.6","2021",42,"Middle East"
"Bermuda","bermuda","29.3","2014",43,"North America"
"Saudi Arabia","saudi-arabia","28.8","2021",44,"Middle East"
"Georgia","georgia","28.3","2021",45,"Middle East"
"India","india","28.3","2021",46,"South Asia"
"Albania","albania","27.8","2021",47,"Europe"
"San Marino","san-marino","27.4","2016",48,"Europe"
"Morocco","morocco","27.2","2021",49,"Africa"
